ticker,date,gics_sub_industry,embedding_peers,benchmark_peers,embedding_peer_corr,benchmark_peer_corr,corr_diff
A,2011-10-31,Life Sciences Tools & Services,WYNN|MGM|REGN|PFG|BX,WAT|CRL|DHR|MTD|TMO,0.8263092955324789,0.9150503340250437,-0.08874103849256476
ABT,2011-10-31,Health Care Equipment,BMY|MCD|VZ|WMT|ED,EW|IDXX|ISRG|MDT|ZBH,0.8963220551382484,0.8837240161548314,0.012598038983416937
ACGL,2011-10-31,Property & Casualty Insurance,SNPS|PAYX|ECL|CNP|SHW,CINF|HIG|PGR|CB|WRB,0.7340149223759537,0.7948296675787137,-0.06081474520275998
ADBE,2011-10-31,Application Software,PPG|NSC|PSA|UNP|TRV,ADSK|CDNS|PTC|TRMB|FICO,0.8566129167292381,0.877119324334967,-0.02050640760572886
ADI,2011-10-31,Semiconductors,GPC|MCHP|TSN|INTU|NKE,MU|NXPI|MPWR|TXN|ON,0.9182677623811144,0.881638740052516,0.03662902232859844
ADSK,2011-10-31,Application Software,AFL|HST|LEN|ALB|DHI,SNPS|ADBE|ORCL|TYL|CDNS,0.9055931597085662,0.8766618606255351,0.02893129908303116
AEE,2011-10-31,Multi-Utilities,HRL|ADP|PAYX|NI|CMS,CMS|SRE|DTE|D|NI,0.8600331510665372,0.9060722332778414,-0.04603908221130415
AEP,2011-10-31,Electric Utilities,NEE|CAG|ETR|PPL|SJM,EXC|LNT|PEG|EIX|WEC,0.9276203364364354,0.9432660437916777,-0.01564570735524229
ALB,2011-10-31,Specialty Chemicals,HST|LEN|ROK|ADSK|AFL,ECL|LYB|IFF|DD|PPG,0.9270983869664399,0.9589164213707067,-0.03181803440426678
ALL,2011-10-31,Property & Casualty Insurance,BBY|DVN|NTRS|EQIX|MTB,ACGL|TRV|CB|HIG|CINF,0.765023816018307,0.8501573970338816,-0.08513358101557456
AMD,2011-10-31,Semiconductors,ON|AIG|SWKS|HBAN|HAL,FSLR|QCOM|MCHP|ON|AVGO,0.8947140050033817,0.8677120346802903,0.027001970323091373
AMP,2011-10-31,Asset Management & Custody Banks,KEY|PFG|DD|STLD|MET,BK|BX|TROW|NTRS|IVZ,0.964399527263857,0.9789328302272917,-0.014533302963434691
APA,2011-10-31,Oil & Gas Exploration & Production,NTAP|TFC|PNC|UDR|EBAY,OXY|CTRA|EQT|DVN|COP,0.9260029177401965,0.9436287613554059,-0.017625843615209358
AVGO,2011-10-31,Semiconductors,MAR|DOV|APH|CTSH|PNC,ON|QCOM|ADI|INTC|FSLR,0.7497501467195629,0.7860720471538124,-0.03632190043424954
AXON,2011-10-31,Aerospace & Defense,TKO|CRH|MPWR|GNRC|SMCI,LMT|RTX|BA|TDG|GD,0.7475831056431669,0.7404077851503756,0.007175320492791237
BA,2011-10-31,Aerospace & Defense,MMM|SPGI|DIS|QCOM|BXP,LMT|NOC|GE|RTX|LHX,0.9034625052277929,0.9277828753828015,-0.02432037015500854
BAC,2011-10-31,Diversified Banks,MU|RF|C|MS|CIEN,JPM|WFC|PNC|USB|C,0.8395524240151622,0.9013913299353741,-0.061838905920211906
BAX,2011-10-31,Health Care Equipment,CCI|CLX|RSG|ZBH|LH,ZBH|ISRG|EW|IDXX|ABT,0.8641039451531138,0.8076362733584477,0.05646767179466616
BDX,2011-10-31,Health Care Equipment,ES|FE|PEG|LMT|AMGN,ISRG|ABT|RVTY|STE|MDT,0.5856152593528147,0.7012210391503814,-0.1156057797975667
BEN,2011-10-31,Asset Management & Custody Banks,BLK|BK|HPQ|TT|TXT,AMP|NTRS|BLK|STT|IVZ,0.935108939023849,0.9665389117815925,-0.03142997275774351
BK,2011-10-31,Asset Management & Custody Banks,BEN|BLK|TXT|HPQ|GLW,NTRS|KKR|AMP|BLK|STT,0.8518522340378818,0.9619575431017033,-0.11010530906382154
BLK,2011-10-31,Asset Management & Custody Banks,TT|BEN|HPQ|SCHW|TXT,BK|STT|AMP|KKR|IVZ,0.9451379038802982,0.9585917240670951,-0.013453820186796972
BSX,2011-10-31,Health Care Equipment,LUV|TMO|COO|EXPE|NRG,RMD|DXCM|ISRG|RVTY|SYK,0.7363673430699601,0.719518511500918,0.016848831569042155
BX,2011-10-31,Asset Management & Custody Banks,IVZ|RJF|FITB|NVDA|STLD,BK|KKR|TROW|NTRS|AMP,0.8958723535770795,0.927767227013932,-0.03189487343685249
C,2011-10-31,Diversified Banks,MGM|HAL|HIG|A|WYNN,USB|PNC|JPM|BAC|WFC,0.8928578644901088,0.9542630165292636,-0.06140515203915475
CAG,2011-10-31,Packaged Foods & Meats,PPL|AEP|D|NEE|ETR,HSY|MKC|CPB|GIS|SJM,0.6152146394062868,0.6678943112830237,-0.05267967187673683
CB,2011-10-31,Property & Casualty Insurance,INTU|MCHP|MRSH|ADI|GPC,ALL|TRV|ACGL|WRB|HIG,0.9211970146527768,0.9435208621337933,-0.022323847481016457
CBOE,2011-10-31,Financial Exchanges & Data,ROP|EFX|GL|DGX|VTR,CME|NDAQ|MSCI|ICE|MCO,0.5862135278546231,0.6195602127517258,-0.033346684897102685
CDNS,2011-10-31,Application Software,TEL|TSCO|PH|TDG|PCAR,CRM|ADSK|TRMB|SNPS|ORCL,0.9161124313253757,0.885239338799069,0.030873092526306656
CINF,2011-10-31,Property & Casualty Insurance,STZ|ADM|PKG|DLR|JBHT,HIG|CB|WRB|TRV|PGR,0.9322991541397437,0.9396317382287154,-0.007332584088971639
CME,2011-10-31,Financial Exchanges & Data,EQIX|NTRS|AES|DVN|CI,MSCI|CBOE|FDS|SPGI|ICE,0.7523383535933911,0.8118086431441618,-0.059470289550770716
CMS,2011-10-31,Multi-Utilities,CHD|PNW|UPS|EIX|LNT,PCG|DTE|D|NI|PNW,0.9285318276792759,0.9376260511685809,-0.009094223489304998
CNP,2011-10-31,Multi-Utilities,PAYX|ECL|ACGL|TJX|NI,PNW|NEE|SRE|XEL|CMS,0.7959494823308666,0.7973836457770528,-0.0014341634461861874
