ticker,date,gics_sub_industry,embedding_peers,benchmark_peers,embedding_peer_corr,benchmark_peer_corr,corr_diff
A,2011-10-31,Life Sciences Tools & Services,PFG|BX|AMP|WYNN|AIG,WAT|CRL|DHR|MTD|TMO,0.9097237164845414,0.9150503340250437,-0.005326617540502232
ABT,2011-10-31,Health Care Equipment,XEL|MCD|DTE|ETR|PNW,EW|IDXX|ISRG|MDT|ZBH,0.8386053089408659,0.8837240161548314,-0.04511870721396549
ACGL,2011-10-31,Property & Casualty Insurance,PFE|GRMN|ECL|SHW|HRL,CINF|HIG|PGR|CB|WRB,0.7017014042601654,0.7948296675787137,-0.09312826331854829
ADBE,2011-10-31,Application Software,PPG|TRV|UNP|CB|TEL,ADSK|CDNS|PTC|TRMB|FICO,0.8801352931149236,0.877119324334967,0.0030159687799565793
ADI,2011-10-31,Semiconductors,MCHP|WBD|AJG|CB|WRB,MU|NXPI|MPWR|TXN|ON,0.8780234049498503,0.881638740052516,-0.003615335102665651
ADSK,2011-10-31,Application Software,CMI|STT|DHI|LVS|LII,SNPS|ADBE|ORCL|TYL|CDNS,0.8686863519028059,0.8766618606255351,-0.00797550872272923
AEE,2011-10-31,Multi-Utilities,EIX|CMS|PNW|SRE|ADP,CMS|SRE|DTE|D|NI,0.8601344690769417,0.9060722332778414,-0.04593776420089968
AEP,2011-10-31,Electric Utilities,EVRG|NEE|PPL|WEC|SJM,EXC|LNT|PEG|EIX|WEC,0.9468983219351284,0.9432660437916777,0.0036322781434506846
ALB,2011-10-31,Specialty Chemicals,HST|EOG|LII|AFL|STT,ECL|LYB|IFF|DD|PPG,0.9402085217787376,0.9589164213707067,-0.018707899591969057
ALL,2011-10-31,Property & Casualty Insurance,CME|AES|WY|VTRS|LHX,ACGL|TRV|CB|HIG|CINF,0.8061950369280633,0.8501573970338816,-0.04396236010581833
AMD,2011-10-31,Semiconductors,AIG|SWKS|HIG|A|PFG,FSLR|QCOM|MCHP|ON|AVGO,0.8908399319724786,0.8677120346802903,0.023127897292188226
