ticker,date,gics_sub_industry,embedding_peers,benchmark_peers,embedding_peer_corr,benchmark_peer_corr,corr_diff
A,2011-10-31,Life Sciences Tools & Services,HAL|AMD|FFIV|DXCM|REGN,WAT|CRL|DHR|MTD|TMO,0.8006296010638584,0.9150503340250437,-0.11442073296118527
ABT,2011-10-31,Health Care Equipment,NEE|AEP|ETR|HSY|SJM,EW|IDXX|ISRG|MDT|ZBH,0.8474391482845439,0.8837240161548314,-0.03628486787028751
ACGL,2011-10-31,Property & Casualty Insurance,TAP|CLX|ORLY|CNP|ROST,CINF|HIG|PGR|CB|WRB,0.5767485933685426,0.7948296675787137,-0.2180810742101711
ADBE,2011-10-31,Application Software,KLAC|DVA|DGX|PPG|GEN,ADSK|CDNS|PTC|TRMB|FICO,0.8882767682087268,0.877119324334967,0.011157443873759831
ADI,2011-10-31,Semiconductors,LOW|TSN|WRB|GPC|TXN,MU|NXPI|MPWR|TXN|ON,0.8919116289049345,0.881638740052516,0.010272888852418505
ADSK,2011-10-31,Application Software,PSKY|HST|NDSN|MAS|INCY,SNPS|ADBE|ORCL|TYL|CDNS,0.9030782965301564,0.8766618606255351,0.026416435904621283
AEE,2011-10-31,Multi-Utilities,UPS|EIX|CVS|AMGN|CHD,CMS|SRE|DTE|D|NI,0.7965824624795781,0.9060722332778414,-0.10948977079826328
AEP,2011-10-31,Electric Utilities,ETR|NEE|ABT|HSY|SJM,EXC|LNT|PEG|EIX|WEC,0.939919764971901,0.9432660437916777,-0.0033462788197766713
ALB,2011-10-31,Specialty Chemicals,ROK|TROW|LEN|BKR|VMC,ECL|LYB|IFF|DD|PPG,0.8977516979443897,0.9589164213707067,-0.06116472342631696
ALL,2011-10-31,Property & Casualty Insurance,EQR|VRSN|IT|ITW|CI,ACGL|TRV|CB|HIG|CINF,0.8635765431434426,0.8501573970338816,0.013419146109560964
AMD,2011-10-31,Semiconductors,A|HAL|AKAM|REGN|FFIV,FSLR|QCOM|MCHP|ON|AVGO,0.8758251242058532,0.8677120346802903,0.008113089525562889
AMP,2011-10-31,Asset Management & Custody Banks,FITB|STLD|KEY|MET|HBAN,BK|BX|TROW|NTRS|IVZ,0.9479302996920741,0.9789328302272917,-0.03100253053521762
APA,2011-10-31,Oil & Gas Exploration & Production,KIM|ETN|WSM|NDAQ|TTWO,OXY|CTRA|EQT|DVN|COP,0.8755175463934187,0.9436287613554059,-0.06811121496198713
AVGO,2011-10-31,Semiconductors,RL|EXPE|MSCI|MNST|NTAP,ON|QCOM|ADI|INTC|FSLR,0.7132060814557891,0.7860720471538124,-0.07286596569802328
AXON,2011-10-31,Aerospace & Defense,FICO|STT|BEN|ROL|PWR,LMT|RTX|BA|TDG|GD,0.7554209158593264,0.7404077851503756,0.015013130708950717
BA,2011-10-31,Aerospace & Defense,SPGI|NSC|WTW|NRG|AVB,LMT|NOC|GE|RTX|LHX,0.8842304326353465,0.9277828753828015,-0.043552442747454956
BAC,2011-10-31,Diversified Banks,CIEN|MS|RF|PHM|STX,JPM|WFC|PNC|USB|C,0.8305929777151061,0.9013913299353741,-0.07079835222026798
BAX,2011-10-31,Health Care Equipment,SHW|ECL|TJX|MSFT|GRMN,ZBH|ISRG|EW|IDXX|ABT,0.8755768372629377,0.8076362733584477,0.06794056390448999
BDX,2011-10-31,Health Care Equipment,ES|NI|HRL|DLTR|MRK,ISRG|ABT|RVTY|STE|MDT,0.5685643461569889,0.7012210391503814,-0.13265669299339244
BEN,2011-10-31,Asset Management & Custody Banks,COF|SCHW|PWR|SLB|STT,AMP|NTRS|BLK|STT|IVZ,0.9525011830639272,0.9665389117815925,-0.014037728717665288
BK,2011-10-31,Asset Management & Custody Banks,SWK|SCHW|ODFL|CNC|AOS,NTRS|KKR|AMP|BLK|STT,0.8858911469260711,0.9619575431017033,-0.07606639617563227
BLK,2011-10-31,Asset Management & Custody Banks,MCO|GS|HPQ|ULTA|PODD,BK|STT|AMP|KKR|IVZ,0.8753812855509416,0.9585917240670951,-0.0832104385161535
BSX,2011-10-31,Health Care Equipment,CME|DVN|HON|CMG|ISRG,RMD|DXCM|ISRG|RVTY|SYK,0.8543569757154622,0.719518511500918,0.13483846421454426
BX,2011-10-31,Asset Management & Custody Banks,IVZ|FCX|RCL|TMUS|WYNN,BK|KKR|TROW|NTRS|AMP,0.8866352098154511,0.927767227013932,-0.04113201719848092
C,2011-10-31,Diversified Banks,MU|MGM|URI|CBRE|NXPI,USB|PNC|JPM|BAC|WFC,0.8164844968888012,0.9542630165292636,-0.1377785196404624
CAG,2011-10-31,Packaged Foods & Meats,D|PPL|PEP|AZO|WMT,HSY|MKC|CPB|GIS|SJM,0.6379871308537916,0.6678943112830237,-0.029907180429232127
CB,2011-10-31,Property & Casualty Insurance,GWW|OMC|NEM|FIS|EFX,ALL|TRV|ACGL|WRB|HIG,0.91846065307615,0.9435208621337933,-0.02506020905764328
CBOE,2011-10-31,Financial Exchanges & Data,AON|ACN|MMM|VTR|FAST,CME|NDAQ|MSCI|ICE|MCO,0.5266655848778035,0.6195602127517258,-0.09289462787392233
CDNS,2011-10-31,Application Software,NUE|CSX|AES|TEL|DPZ,CRM|ADSK|TRMB|SNPS|ORCL,0.8645468189977515,0.885239338799069,-0.020692519801317477
CINF,2011-10-31,Property & Casualty Insurance,ROP|DHR|TRV|EW|AMAT,HIG|CB|WRB|TRV|PGR,0.9049593361181497,0.9396317382287154,-0.03467240211056566
CME,2011-10-31,Financial Exchanges & Data,HON|DVN|BSX|ISRG|CMG,MSCI|CBOE|FDS|SPGI|ICE,0.7691822196093598,0.8118086431441618,-0.04262642353480195
CMS,2011-10-31,Multi-Utilities,MKC|KR|PEG|SRE|LNT,PCG|DTE|D|NI|PNW,0.9336585408057274,0.9376260511685809,-0.003967510362853477
CNP,2011-10-31,Multi-Utilities,ROST|CLX|TAP|AWK|KDP,PNW|NEE|SRE|XEL|CMS,0.8188245909262399,0.7973836457770528,0.02144094514918715
COP,2011-10-31,Oil & Gas Exploration & Production,RTX|NKE|TSN|IDXX|MCHP,DVN|OXY|EQT|EOG|APA,0.8851394131013084,0.8958162929044742,-0.010676879803165784
CPB,2011-10-31,Packaged Foods & Meats,PG|GIS|DUK|KMB|MO,CAG|MKC|HSY|HRL|MDLZ,0.5814769675787813,0.5684365820556008,0.013040385523180542
CRL,2011-10-31,Life Sciences Tools & Services,CTSH|EXPE|PH|J|WAT,TECH|A|DHR|TMO|WAT,0.560169948911322,0.6685960412037444,-0.1084260922924224
CRM,2011-10-31,Application Software,MOS|TSLA|PLD|MAS|AFL,CDNS|ADSK|ORCL|FICO|ADBE,0.639570378174218,0.6676859131532038,-0.02811553497898578
CTRA,2011-10-31,Oil & Gas Exploration & Production,LULU|REGN|ON|NVDA|AKAM,EQT|EOG|APA|TPL|OXY,0.5592425551478147,0.7615775237082467,-0.20233496856043198
D,2011-10-31,Multi-Utilities,PPL|CAG|ED|WMT|PEP,NI|NEE|SRE|PCG|XEL,0.9173612821009776,0.9176841223842668,-0.0003228402832892163
DD,2011-10-31,Specialty Chemicals,RJF|DECK|LVS|PTC|CF,LYB|PPG|SHW|IFF|ALB,0.9167513181823411,0.9051424730445327,0.011608845137808466
DHR,2011-10-31,Life Sciences Tools & Services,ROP|CINF|EW|TRV|HUM,TECH|WAT|TMO|A|MTD,0.949302254517486,0.910157603864293,0.03914465065319295
DOV,2011-10-31,Industrial Machinery & Supplies & Components,UDR|ARE|MSCI|TDY|EXR,PNR|SNA|SWK|PH|GWW,0.8778315880893133,0.9255819205142606,-0.047750332424947306
