ticker,date,gics_sub_industry,embedding_peers,benchmark_peers,embedding_peer_corr,benchmark_peer_corr,corr_diff
A,2011-10-31,Life Sciences Tools & Services,AMP|WYNN|RJF|FITB|PFG,WAT|CRL|DHR|MTD|TMO,0.9208402815370287,0.9150503340250437,0.0057899475119850274
ABT,2011-10-31,Health Care Equipment,DTE|NEE|MDLZ|ETR|PNW,EW|IDXX|ISRG|MDT|ZBH,0.8743537204506865,0.8837240161548314,-0.009370295704144938
ACGL,2011-10-31,Property & Casualty Insurance,YUM|HRL|ECL|ADP|PFE,CINF|HIG|PGR|CB|WRB,0.7021091907845869,0.7948296675787137,-0.09272047679412676
ADBE,2011-10-31,Application Software,HUBB|ADM|AMAT|PPG|NUE,ADSK|CDNS|PTC|TRMB|FICO,0.8846968955601682,0.877119324334967,0.007577571225201196
ADI,2011-10-31,Semiconductors,MCHP|TXN|EFX|INTC|CMCSA,MU|NXPI|MPWR|TXN|ON,0.9458688622361537,0.881638740052516,0.06423012218363777
ADSK,2011-10-31,Application Software,ROK|CMI|LEN|F|LII,SNPS|ADBE|ORCL|TYL|CDNS,0.8804426419755395,0.8766618606255351,0.0037807813500043697
AEE,2011-10-31,Multi-Utilities,CMS|PNW|EIX|WEC|SNPS,CMS|SRE|DTE|D|NI,0.858546697315101,0.9060722332778414,-0.04752553596274034
AEP,2011-10-31,Electric Utilities,CL|ETR|NEE|PPL|EVRG,EXC|LNT|PEG|EIX|WEC,0.9440877549265576,0.9432660437916777,0.0008217111348799433
ALB,2011-10-31,Specialty Chemicals,BKR|LYB|MAS|DD|SLB,ECL|LYB|IFF|DD|PPG,0.9506599577227771,0.9589164213707067,-0.008256463647929535
ALL,2011-10-31,Property & Casualty Insurance,BXP|MMM|CME|MLM|PNC,ACGL|TRV|CB|HIG|CINF,0.8512924277738018,0.8501573970338816,0.001135030739920162
AMD,2011-10-31,Semiconductors,AIG|MU|LYV|MOS|SWKS,FSLR|QCOM|MCHP|ON|AVGO,0.8535189817624608,0.8677120346802903,-0.014193052917829574
AMP,2011-10-31,Asset Management & Custody Banks,A|RJF|JPM|KEY|FITB,BK|BX|TROW|NTRS|IVZ,0.968429920721069,0.9789328302272917,-0.01050290950622268
APA,2011-10-31,Oil & Gas Exploration & Production,SLB|EOG|FICO|BKR|OXY,OXY|CTRA|EQT|DVN|COP,0.9342583911499989,0.9436287613554059,-0.009370370205406986
AVGO,2011-10-31,Semiconductors,NDAQ|BSX|ULTA|MA|IRM,ON|QCOM|ADI|INTC|FSLR,0.7258381696074816,0.7860720471538124,-0.060233877546330805
AXON,2011-10-31,Aerospace & Defense,GNRC|CRH|TKO|JBL|POOL,LMT|RTX|BA|TDG|GD,0.7966061529488887,0.7404077851503756,0.05619836779851306
BA,2011-10-31,Aerospace & Defense,LHX|PKG|PGR|BG|GE,LMT|NOC|GE|RTX|LHX,0.9081655107591388,0.9277828753828015,-0.019617364623662703
BAC,2011-10-31,Diversified Banks,HIG|MU|CIEN|C|RF,JPM|WFC|PNC|USB|C,0.7954496572889663,0.9013913299353741,-0.10594167264640775
BAX,2011-10-31,Health Care Equipment,KDP|FE|RSG|CCI|ZBH,ZBH|ISRG|EW|IDXX|ABT,0.8976851563664071,0.8076362733584477,0.09004888300795943
BDX,2011-10-31,Health Care Equipment,LIN|LH|TAP|MKC|NVR,ISRG|ABT|RVTY|STE|MDT,0.7037129958596113,0.7012210391503814,0.00249195670922997
BEN,2011-10-31,Asset Management & Custody Banks,TT|ARE|SCHW|PRU|BK,AMP|NTRS|BLK|STT|IVZ,0.9564958893452984,0.9665389117815925,-0.010043022436294069
BK,2011-10-31,Asset Management & Custody Banks,AOS|GS|JPM|GLW|SCHW,NTRS|KKR|AMP|BLK|STT,0.9076470256466713,0.9619575431017033,-0.054310517455032015
BLK,2011-10-31,Asset Management & Custody Banks,WFC|AVY|TT|WAT|ARE,BK|STT|AMP|KKR|IVZ,0.9310721828145474,0.9585917240670951,-0.02751954125254774
