ticker,date,title,company_name,gics_sector,gics_sub_industry,cluster,cluster_majority_label,cluster_distance
SYY,2026-04-22,SYSCO CORP,Sysco,Consumer Staples,Food Distributors,7,Consumer Discretionary,0.9244052501790355
SLB,2026-04-22,SLB LIMITED/NV,Schlumberger,Energy,Oil & Gas Equipment & Services,6,Information Technology,0.8909564615691636
CPAY,2026-04-22,"CORPAY, INC.",Corpay,Financials,Transaction & Payment Processing Services,2,Materials,0.8765493775901513
EQT,2026-04-22,EQT Corp,EQT Corporation,Energy,Oil & Gas Exploration & Production,6,Information Technology,0.8729698151225261
KDP,2026-04-22,Keurig Dr Pepper Inc.,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2,Materials,0.8370156939901121
PRU,2026-04-22,PRUDENTIAL FINANCIAL INC,Prudential Financial,Financials,Life & Health Insurance,4,Health Care,0.8141138972101589
WBD,2026-04-22,"Warner Bros. Discovery, Inc.",Warner Bros. Discovery,Communication Services,Broadcasting,7,Consumer Discretionary,0.8112599052162583
OMC,2026-04-22,OMNICOM GROUP INC.,Omnicom Group,Communication Services,Advertising,10,Materials,0.799534740903354
CCL,2026-04-22,CARNIVAL CORP,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",6,Information Technology,0.7602582081955158
SATS,2026-04-22,EchoStar CORP,EchoStar,Communication Services,Wireless Telecommunication Services,7,Consumer Discretionary,0.7471611054933097
CPT,2026-04-22,CAMDEN PROPERTY TRUST,Camden Property Trust,Real Estate,Multi-Family Residential REITs,7,Consumer Discretionary,0.7310947159025963
FITB,2026-04-22,FIFTH THIRD BANCORP,Fifth Third Bancorp,Financials,Regional Banks,2,Materials,0.7251630551340938
DIS,2026-04-22,Walt Disney Co,Walt Disney Company (The),Communication Services,Movies & Entertainment,6,Information Technology,0.7014137826672194
COR,2026-04-22,"Cencora, Inc.",Cencora,Health Care,Health Care Distributors,6,Information Technology,0.6930139815652488
LDOS,2026-04-22,"Leidos Holdings, Inc.",Leidos,Industrials,Diversified Support Services,2,Materials,0.6578435669941552
PSA,2026-04-22,Public Storage,Public Storage,Real Estate,Self-Storage REITs,7,Consumer Discretionary,0.6569228336684275
BDX,2026-04-22,BECTON DICKINSON & CO,Becton Dickinson,Health Care,Health Care Equipment,6,Information Technology,0.6513034372214385
PSKY,2026-04-22,Paramount Skydance Corp,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,6,Information Technology,0.6401678916071731
VRT,2026-04-22,Vertiv Holdings Co,Vertiv,Industrials,Electrical Components & Equipment,10,Materials,0.6287368058044553
TDG,2026-04-22,TransDigm Group INC,TransDigm Group,Industrials,Aerospace & Defense,6,Information Technology,0.6178232163480983
HSIC,2026-04-22,HENRY SCHEIN INC,Henry Schein,Health Care,Health Care Distributors,7,Consumer Discretionary,0.6147053912906675
BG,2026-04-22,Bunge Global SA,Bunge Global,Consumer Staples,Agricultural Products & Services,9,Financials,0.6048169019786045
J,2026-04-22,JACOBS SOLUTIONS INC.,Jacobs Solutions,Industrials,Construction & Engineering,6,Information Technology,0.5829925639292631
