ticker,date,gics_sub_industry,embedding_peers,benchmark_peers,embedding_peer_corr,benchmark_peer_corr,corr_diff
A,2011-10-31,Life Sciences Tools & Services,O|NXPI|NVR|NVDA|NUE,WAT|CRL|DHR|MTD|TMO,0.9004464227656586,0.9150503340250437,-0.014603911259385094
ABT,2011-10-31,Health Care Equipment,A|O|NXPI|NVR|NVDA,EW|IDXX|ISRG|MDT|ZBH,0.8563314238559953,0.8837240161548314,-0.02739259229883617
ACGL,2011-10-31,Property & Casualty Insurance,A|O|NXPI|NVR|NVDA,CINF|HIG|PGR|CB|WRB,0.6542410348686973,0.7948296675787137,-0.14058863271001631
ADBE,2011-10-31,Application Software,A|O|NXPI|NVR|NVDA,ADSK|CDNS|PTC|TRMB|FICO,0.8887533609395796,0.877119324334967,0.011634036604612596
ADI,2011-10-31,Semiconductors,A|O|NXPI|NVR|NVDA,MU|NXPI|MPWR|TXN|ON,0.8891666802717653,0.881638740052516,0.007527940219249296
ADSK,2011-10-31,Application Software,A|O|NXPI|NVR|NVDA,SNPS|ADBE|ORCL|TYL|CDNS,0.9036736241173905,0.8766618606255351,0.02701176349185541
AEE,2011-10-31,Multi-Utilities,A|O|NXPI|NVR|NVDA,CMS|SRE|DTE|D|NI,0.7413508738695532,0.9060722332778414,-0.16472135940828814
AEP,2011-10-31,Electric Utilities,A|O|NXPI|NVR|NVDA,EXC|LNT|PEG|EIX|WEC,0.8226804740007088,0.9432660437916777,-0.1205855697909689
ALB,2011-10-31,Specialty Chemicals,A|O|NXPI|NVR|NVDA,ECL|LYB|IFF|DD|PPG,0.8990281189632815,0.9589164213707067,-0.059888302407425154
ALL,2011-10-31,Property & Casualty Insurance,A|O|NXPI|NVR|NVDA,ACGL|TRV|CB|HIG|CINF,0.7693650580039796,0.8501573970338816,-0.08079233902990202
AMD,2011-10-31,Semiconductors,A|O|NXPI|NVR|NVDA,FSLR|QCOM|MCHP|ON|AVGO,0.9049092628292774,0.8677120346802903,0.03719722814898707
AMP,2011-10-31,Asset Management & Custody Banks,A|O|NXPI|NVR|NVDA,BK|BX|TROW|NTRS|IVZ,0.9142791404979131,0.9789328302272917,-0.06465368972937857
APA,2011-10-31,Oil & Gas Exploration & Production,A|O|NXPI|NVR|NVDA,OXY|CTRA|EQT|DVN|COP,0.8763860601993647,0.9436287613554059,-0.06724270115604114
AVGO,2011-10-31,Semiconductors,A|O|NXPI|NVR|NVDA,ON|QCOM|ADI|INTC|FSLR,0.7556933182495151,0.7860720471538124,-0.03037872890429727
AXON,2011-10-31,Aerospace & Defense,A|O|NXPI|NVR|NVDA,LMT|RTX|BA|TDG|GD,0.6886086185751694,0.7404077851503756,-0.051799166575206224
BA,2011-10-31,Aerospace & Defense,A|O|NXPI|NVR|NVDA,LMT|NOC|GE|RTX|LHX,0.8166436568582516,0.9277828753828015,-0.11113921852454989
BAC,2011-10-31,Diversified Banks,A|O|NXPI|NVR|NVDA,JPM|WFC|PNC|USB|C,0.7891619759855479,0.9013913299353741,-0.11222935394982614
BAX,2011-10-31,Health Care Equipment,A|O|NXPI|NVR|NVDA,ZBH|ISRG|EW|IDXX|ABT,0.8349954743993808,0.8076362733584477,0.027359201040933145
BDX,2011-10-31,Health Care Equipment,A|O|NXPI|NVR|NVDA,ISRG|ABT|RVTY|STE|MDT,0.6202275435261475,0.7012210391503814,-0.08099349562423386
BEN,2011-10-31,Asset Management & Custody Banks,A|O|NXPI|NVR|NVDA,AMP|NTRS|BLK|STT|IVZ,0.9198535284180421,0.9665389117815925,-0.046685383363550326
BK,2011-10-31,Asset Management & Custody Banks,A|O|NXPI|NVR|NVDA,NTRS|KKR|AMP|BLK|STT,0.8422774443686948,0.9619575431017033,-0.11968009873300856
BLK,2011-10-31,Asset Management & Custody Banks,A|O|NXPI|NVR|NVDA,BK|STT|AMP|KKR|IVZ,0.900613840685546,0.9585917240670951,-0.05797788338154919
BSX,2011-10-31,Health Care Equipment,A|O|NXPI|NVR|NVDA,RMD|DXCM|ISRG|RVTY|SYK,0.7423339254684052,0.719518511500918,0.022815413967487208
BX,2011-10-31,Asset Management & Custody Banks,A|O|NXPI|NVR|NVDA,BK|KKR|TROW|NTRS|AMP,0.8877714761716627,0.927767227013932,-0.03999575084226925
C,2011-10-31,Diversified Banks,A|O|NXPI|NVR|NVDA,USB|PNC|JPM|BAC|WFC,0.8782106653929793,0.9542630165292636,-0.07605235113628428
CAG,2011-10-31,Packaged Foods & Meats,A|O|NXPI|NVR|NVDA,HSY|MKC|CPB|GIS|SJM,0.6542425932147713,0.6678943112830237,-0.013651718068252383
CB,2011-10-31,Property & Casualty Insurance,A|O|NXPI|NVR|NVDA,ALL|TRV|ACGL|WRB|HIG,0.848869238469298,0.9435208621337933,-0.09465162366449531
CBOE,2011-10-31,Financial Exchanges & Data,A|O|NXPI|NVR|NVDA,CME|NDAQ|MSCI|ICE|MCO,0.5974134377140893,0.6195602127517258,-0.022146775037636512
CDNS,2011-10-31,Application Software,A|O|NXPI|NVR|NVDA,CRM|ADSK|TRMB|SNPS|ORCL,0.8437469050359798,0.885239338799069,-0.0414924337630892
CINF,2011-10-31,Property & Casualty Insurance,A|O|NXPI|NVR|NVDA,HIG|CB|WRB|TRV|PGR,0.8872531641788375,0.9396317382287154,-0.05237857404987789
CME,2011-10-31,Financial Exchanges & Data,A|O|NXPI|NVR|NVDA,MSCI|CBOE|FDS|SPGI|ICE,0.66323792263784,0.8118086431441618,-0.1485707205063218
CMS,2011-10-31,Multi-Utilities,A|O|NXPI|NVR|NVDA,PCG|DTE|D|NI|PNW,0.7347196658968065,0.9376260511685809,-0.2029063852717744
CNP,2011-10-31,Multi-Utilities,A|O|NXPI|NVR|NVDA,PNW|NEE|SRE|XEL|CMS,0.8159055894817759,0.7973836457770528,0.018521943704723154
COP,2011-10-31,Oil & Gas Exploration & Production,A|O|NXPI|NVR|NVDA,DVN|OXY|EQT|EOG|APA,0.8308639031295469,0.8958162929044742,-0.06495238977492723
CPB,2011-10-31,Packaged Foods & Meats,A|O|NXPI|NVR|NVDA,CAG|MKC|HSY|HRL|MDLZ,0.3914134800739173,0.5684365820556008,-0.17702310198168347
CRL,2011-10-31,Life Sciences Tools & Services,A|O|NXPI|NVR|NVDA,TECH|A|DHR|TMO|WAT,0.6676533356862939,0.6685960412037444,-0.0009427055174504595
CRM,2011-10-31,Application Software,A|O|NXPI|NVR|NVDA,CDNS|ADSK|ORCL|FICO|ADBE,0.6805231029149988,0.6676859131532038,0.012837189761795043
