ticker,date,title,company_name,gics_sector,gics_sub_industry,cluster,cluster_majority_label,cluster_distance
CINF,2026-04-22,CINCINNATI FINANCIAL CORP,Cincinnati Financial,Financials,Property & Casualty Insurance,7,Health Care,2.124690007283061
GEN,2026-04-22,Gen Digital Inc.,Gen Digital,Information Technology,Systems Software,3,Industrials,1.9048541828989292
EXPE,2026-04-22,"Expedia Group, Inc.",Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",7,Health Care,1.8903316809565351
NEM,2026-04-22,NEWMONT Corp /DE/,Newmont,Materials,Gold,9,Industrials,1.8577499587741217
LULU,2026-04-22,lululemon athletica inc.,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2,Consumer Staples,1.6627389138898008
CLX,2026-04-22,CLOROX CO /DE/,Clorox,Consumer Staples,Household Products,7,Health Care,1.632986845135535
V,2026-04-22,VISA INC.,Visa Inc.,Financials,Transaction & Payment Processing Services,10,Communication Services,1.6220696539157735
NUE,2026-04-22,NUCOR CORP,Nucor,Materials,Steel,7,Health Care,1.6154431293608416
MOS,2026-04-22,MOSAIC CO,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,7,Health Care,1.6045135695978863
ROK,2026-04-22,"ROCKWELL AUTOMATION, INC",Rockwell Automation,Industrials,Electrical Components & Equipment,6,Financials,1.6019504916008205
ADBE,2026-04-22,ADOBE INC.,Adobe Inc.,Information Technology,Application Software,10,Communication Services,1.5982594323349524
LYB,2026-04-22,LyondellBasell Industries N.V.,LyondellBasell,Materials,Specialty Chemicals,0,Industrials,1.5821764187074119
APA,2026-04-22,APA Corp,APA Corporation,Energy,Oil & Gas Exploration & Production,0,Industrials,1.5743569401639568
AZO,2026-04-22,AUTOZONE INC,AutoZone,Consumer Discretionary,Automotive Retail,7,Health Care,1.5502362182308782
TSLA,2026-04-22,"Tesla, Inc.","Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,1,Information Technology,1.5501697792071083
EIX,2026-04-22,EDISON INTERNATIONAL,Edison International,Utilities,Electric Utilities,3,Industrials,1.5318837578331936
