ticker,date,gics_sub_industry,embedding_peers,benchmark_peers,embedding_peer_corr,benchmark_peer_corr,corr_diff
A,2011-10-31,Life Sciences Tools & Services,HAL|AMD|REGN|AKAM|ON,WAT|CRL|DHR|MTD|TMO,0.8807745494633433,0.9150503340250437,-0.03427578456170033
ABT,2011-10-31,Health Care Equipment,MCD|BMY|AZO|VZ|KO,EW|IDXX|ISRG|MDT|ZBH,0.8967623811186767,0.8837240161548314,0.01303836496384525
ACGL,2011-10-31,Property & Casualty Insurance,CNP|AWK|VRSK|SNPS|PAYX,CINF|HIG|PGR|CB|WRB,0.6887367980676669,0.7948296675787137,-0.1060928695110468
ADBE,2011-10-31,Application Software,PPG|UNP|TRV|NSC|V,ADSK|CDNS|PTC|TRMB|FICO,0.8635303474843549,0.877119324334967,-0.013588976850612111
ADI,2011-10-31,Semiconductors,TSN|TXN|HD|GPC|NKE,MU|NXPI|MPWR|TXN|ON,0.8884887328867294,0.881638740052516,0.006849992834213392
ADSK,2011-10-31,Application Software,HST|CRM|ALB|BKR|AMZN,SNPS|ADBE|ORCL|TYL|CDNS,0.9099747363363295,0.8766618606255351,0.03331287571079444
AEE,2011-10-31,Multi-Utilities,CVS|COST|UPS|ADP|PM,CMS|SRE|DTE|D|NI,0.8332646233958564,0.9060722332778414,-0.07280760988198498
AEP,2011-10-31,Electric Utilities,NEE|ETR|SJM|PEP|KO,EXC|LNT|PEG|EIX|WEC,0.9176144120953847,0.9432660437916777,-0.02565163169629292
ALB,2011-10-31,Specialty Chemicals,HST|BKR|ROK|LEN|ADSK,ECL|LYB|IFF|DD|PPG,0.9203358870372478,0.9589164213707067,-0.03858053433345887
ALL,2011-10-31,Property & Casualty Insurance,EQIX|BBY|CI|NTRS|IT,ACGL|TRV|CB|HIG|CINF,0.7875702285408481,0.8501573970338816,-0.06258716849303347
AMD,2011-10-31,Semiconductors,ON|A|HAL|COHR|REGN,FSLR|QCOM|MCHP|ON|AVGO,0.8832052493591366,0.8677120346802903,0.015493214678846234
AMP,2011-10-31,Asset Management & Custody Banks,STLD|KEY|FITB|PFG|MET,BK|BX|TROW|NTRS|IVZ,0.9606558952259908,0.9789328302272917,-0.018276935001300898
APA,2011-10-31,Oil & Gas Exploration & Production,KIM|NDAQ|EBAY|MTD|TFC,OXY|CTRA|EQT|DVN|COP,0.8886801092530267,0.9436287613554059,-0.0549486521023792
AVGO,2011-10-31,Semiconductors,NTAP|POOL|CSGP|MAR|PNC,ON|QCOM|ADI|INTC|FSLR,0.6802403640392546,0.7860720471538124,-0.10583168311455782
AXON,2011-10-31,Aerospace & Defense,TDY|IEX|WAT|CRL|APH,LMT|RTX|BA|TDG|GD,0.7029780486339103,0.7404077851503756,-0.037429736516465306
BA,2011-10-31,Aerospace & Defense,MMM|BXP|UNH|SPGI|AON,LMT|NOC|GE|RTX|LHX,0.8870212657530168,0.9277828753828015,-0.0407616096297847
BAC,2011-10-31,Diversified Banks,CIEN|MS|ALGN|RF|PHM,JPM|WFC|PNC|USB|C,0.8709000822919998,0.9013913299353741,-0.030491247643374297
BAX,2011-10-31,Health Care Equipment,CCI|RSG|SBAC|AMT|NVR,ZBH|ISRG|EW|IDXX|ABT,0.799300905164753,0.8076362733584477,-0.008335368193694626
BDX,2011-10-31,Health Care Equipment,ES|FE|MRK|NI|AWK,ISRG|ABT|RVTY|STE|MDT,0.5091367787720626,0.7012210391503814,-0.19208426037831872
BEN,2011-10-31,Asset Management & Custody Banks,SCHW|HPQ|BK|EME|PODD,AMP|NTRS|BLK|STT|IVZ,0.9517413941942615,0.9665389117815925,-0.014797517587330944
BK,2011-10-31,Asset Management & Custody Banks,BEN|FICO|SCHW|HPQ|EME,NTRS|KKR|AMP|BLK|STT,0.8673291302533032,0.9619575431017033,-0.09462841284840018
BLK,2011-10-31,Asset Management & Custody Banks,HPQ|GS|LII|EME|BEN,BK|STT|AMP|KKR|IVZ,0.9572323882620454,0.9585917240670951,-0.0013593358050497661
BSX,2011-10-31,Health Care Equipment,CPT|AES|MAA|NTRS|DVN,RMD|DXCM|ISRG|RVTY|SYK,0.7851625254474983,0.719518511500918,0.06564401394658037
BX,2011-10-31,Asset Management & Custody Banks,KKR|IVZ|PFG|AIG|SWKS,BK|KKR|TROW|NTRS|AMP,0.9178172798586337,0.927767227013932,-0.009949947155298289
C,2011-10-31,Diversified Banks,NXPI|URI|MU|MGM|CBRE,USB|PNC|JPM|BAC|WFC,0.8164844968888012,0.9542630165292636,-0.1377785196404624
CAG,2011-10-31,Packaged Foods & Meats,PPL|D|PEP|ED|XEL,HSY|MKC|CPB|GIS|SJM,0.6382952091441699,0.6678943112830237,-0.02959910213885375
CB,2011-10-31,Property & Casualty Insurance,CVX|INTU|NEM|GWW|CMCSA,ALL|TRV|ACGL|WRB|HIG,0.912036532668146,0.9435208621337933,-0.031484329465647276
CBOE,2011-10-31,Financial Exchanges & Data,VTR|CASY|GPN|AON|ICE,CME|NDAQ|MSCI|ICE|MCO,0.5518083642276553,0.6195602127517258,-0.06775184852407046
CDNS,2011-10-31,Application Software,TEL|CMG|HON|TSCO|TDG,CRM|ADSK|TRMB|SNPS|ORCL,0.896862999687358,0.885239338799069,0.011623660888289034
CINF,2011-10-31,Property & Casualty Insurance,EW|PKG|BXP|DHR|FDX,HIG|CB|WRB|TRV|PGR,0.9311596463580352,0.9396317382287154,-0.00847209187068021
CME,2011-10-31,Financial Exchanges & Data,DVN|NTRS|AES|EQIX|CSX,MSCI|CBOE|FDS|SPGI|ICE,0.7557260633776398,0.8118086431441618,-0.05608257976652198
CMS,2011-10-31,Multi-Utilities,MKC|SRE|LNT|KR|PEG,PCG|DTE|D|NI|PNW,0.9336585408057274,0.9376260511685809,-0.003967510362853477
CNP,2011-10-31,Multi-Utilities,ACGL|AWK|PAYX|MRK|VRSK,PNW|NEE|SRE|XEL|CMS,0.7861981173079109,0.7973836457770528,-0.011185528469141892
COP,2011-10-31,Oil & Gas Exploration & Production,TSN|HD|TXN|ADI|EG,DVN|OXY|EQT|EOG|APA,0.8439678374438719,0.8958162929044742,-0.05184845546060224
