ticker,date,title,company_name,gics_sector,gics_sub_industry,cluster,cluster_majority_label,cluster_distance
WBD,2026-04-22,"Warner Bros. Discovery, Inc.",Warner Bros. Discovery,Communication Services,Broadcasting,10,Health Care,0.38069893799614435
HUBB,2026-04-22,HUBBELL INC,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,4,Energy,0.37139254994551735
GLW,2026-04-22,CORNING INC /NY,Corning Inc.,Information Technology,Electronic Components,4,Energy,0.3453803167473909
FIX,2026-04-22,COMFORT SYSTEMS USA INC,Comfort Systems USA,Industrials,Construction & Engineering,3,Information Technology,0.3312751158918772
DELL,2026-04-22,Dell Technologies Inc.,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",4,Energy,0.3263218055972795
VRT,2026-04-22,Vertiv Holdings Co,Vertiv,Industrials,Electrical Components & Equipment,4,Energy,0.3174557867749759
SBAC,2026-04-22,SBA COMMUNICATIONS CORP,SBA Communications,Real Estate,Telecom Tower REITs,7,Information Technology,0.2982317317473542
GEV,2026-04-22,GE Vernova Inc.,GE Vernova,Industrials,Heavy Electrical Equipment,4,Energy,0.2962486818327433
APP,2026-04-22,AppLovin Corp,AppLovin,Information Technology,Application Software,10,Health Care,0.2914677395325077
ALB,2026-04-22,ALBEMARLE CORP,Albemarle Corporation,Materials,Specialty Chemicals,7,Information Technology,0.28326325764166516
AES,2026-04-22,AES CORP,AES Corporation,Utilities,Independent Power Producers & Energy Traders,10,Health Care,0.2750177268577663
PLTR,2026-04-22,Palantir Technologies Inc.,Palantir Technologies,Information Technology,Application Software,10,Health Care,0.26969735959735874
DVA,2026-04-22,DAVITA INC.,DaVita,Health Care,Health Care Services,4,Energy,0.2534439834304698
COIN,2026-04-22,"Coinbase Global, Inc.",Coinbase,Financials,Financial Exchanges & Data,10,Health Care,0.24783432277957165
HOOD,2026-04-22,"Robinhood Markets, Inc.",Robinhood Markets,Financials,Investment Banking & Brokerage,7,Information Technology,0.2476469392621381
FISV,2026-04-22,FISERV INC,Fiserv,Financials,Transaction & Payment Processing Services,10,Health Care,0.24512077350202216
AXON,2026-04-22,"AXON ENTERPRISE, INC.",Axon Enterprise,Industrials,Aerospace & Defense,10,Health Care,0.23567970927230572
AKAM,2026-04-22,AKAMAI TECHNOLOGIES INC,Akamai Technologies,Information Technology,Internet Services & Infrastructure,4,Energy,0.23467150283869775
PSKY,2026-04-22,Paramount Skydance Corp,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,7,Information Technology,0.23465201848741887
CVNA,2026-04-22,CARVANA CO.,Carvana,Consumer Discretionary,Automotive Retail,7,Information Technology,0.22851869800986907
HUM,2026-04-22,HUMANA INC,Humana,Health Care,Managed Health Care,7,Information Technology,0.22777600990176336
TTD,2026-04-22,"Trade Desk, Inc.",Trade Desk (The),Communication Services,Advertising,10,Health Care,0.2171012454326447
EPAM,2026-04-22,"EPAM Systems, Inc.",EPAM Systems,Information Technology,IT Consulting & Other Services,10,Health Care,0.20984540975315405
VZ,2026-04-22,VERIZON COMMUNICATIONS INC,Verizon,Communication Services,Integrated Telecommunication Services,0,Utilities,0.20932296745098872
CRL,2026-04-22,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",Charles River Laboratories,Health Care,Life Sciences Tools & Services,5,Financials,0.20853476213268693
AMAT,2026-04-22,APPLIED MATERIALS INC /DE,Applied Materials,Information Technology,Semiconductor Materials & Equipment,4,Energy,0.2035994388132479
NUE,2026-04-22,NUCOR CORP,Nucor,Materials,Steel,7,Information Technology,0.20075001750362284
GOOG,2026-04-22,Alphabet Inc.,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,6,Information Technology,0.19915073295955066
SYY,2026-04-22,SYSCO CORP,Sysco,Consumer Staples,Food Distributors,9,Industrials,0.19864965571538953
KEYS,2026-04-22,"Keysight Technologies, Inc.",Keysight Technologies,Information Technology,Electronic Equipment & Instruments,4,Energy,0.19553710213899556
NFLX,2026-04-22,NETFLIX INC,Netflix,Communication Services,Movies & Entertainment,4,Energy,0.1950067721228336
FSLR,2026-04-22,"FIRST SOLAR, INC.",First Solar,Information Technology,Semiconductors,10,Health Care,0.1936964484252453
MCK,2026-04-22,MCKESSON CORP,McKesson Corporation,Health Care,Health Care Distributors,9,Industrials,0.1924974620355438
NKE,2026-04-22,"NIKE, Inc.","Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",10,Health Care,0.19138418845633143
BF-B,2026-04-22,BROWN FORMAN CORP,Brown–Forman,Consumer Staples,Distillers & Vintners,7,Information Technology,0.1878279505888789
FICO,2026-04-22,FAIR ISAAC CORP,Fair Isaac,Information Technology,Application Software,10,Health Care,0.1870906893773584
CARR,2026-04-22,CARRIER GLOBAL Corp,Carrier Global,Industrials,Building Products,5,Financials,0.18653482478377284
NOW,2026-04-22,"ServiceNow, Inc.",ServiceNow,Information Technology,Systems Software,10,Health Care,0.1846847602411998
XOM,2026-04-22,EXXON MOBIL CORP,ExxonMobil,Energy,Integrated Oil & Gas,0,Utilities,0.1832212990743813
STLD,2026-04-22,STEEL DYNAMICS INC,Steel Dynamics,Materials,Steel,7,Information Technology,0.181295668977456
XYZ,2026-04-22,"Block, Inc.","Block, Inc.",Financials,Transaction & Payment Processing Services,10,Health Care,0.18006899992639028
OMC,2026-04-22,OMNICOM GROUP INC.,Omnicom Group,Communication Services,Advertising,9,Industrials,0.1782278821964586
APH,2026-04-22,AMPHENOL CORP /DE/,Amphenol,Information Technology,Electronic Components,5,Financials,0.17623053525902102
CAT,2026-04-22,CATERPILLAR INC,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,5,Financials,0.17566113825546162
BLDR,2026-04-22,"Builders FirstSource, Inc.",Builders FirstSource,Industrials,Building Products,10,Health Care,0.17173811267721034
CVX,2026-04-22,CHEVRON CORP,Chevron Corporation,Energy,Integrated Oil & Gas,0,Utilities,0.16834902784980493
SNPS,2026-04-22,SYNOPSYS INC,Synopsys,Information Technology,Application Software,10,Health Care,0.1679015301109576
MAS,2026-04-22,MASCO CORP /DE/,Masco,Industrials,Building Products,5,Financials,0.16735702898687377
CHTR,2026-04-22,"CHARTER COMMUNICATIONS, INC. /MO/",Charter Communications,Communication Services,Cable & Satellite,4,Energy,0.16732137758211665
CCL,2026-04-22,CARNIVAL CORP,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",10,Health Care,0.16615362925300312
