ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
A,Life Sciences Tools & Services,TMO|SOLV|F|WY|INCY,IQV|DHR|WAT|TMO|TECH,TPL|UNH|DLTR|DVN|AMZN,0.0,0.4,0.0,0.0,0.051515151515151514,0.0
AAPL,"Technology Hardware, Storage & Peripherals",MSFT|AMZN|GOOGL|NFLX|AVGO,STX|HPQ|SNDK|WDC|DELL,WTW|HAL|IQV|LUV|HWM,0.0,0.0,0.0,0.02331002331002331,0.0,0.0
ABBV,Biotechnology,MMM|PKG|EW|HON|TXT,MRNA|REGN|GILD|INCY|VRTX,AMAT|TECH|BKR|CDNS|MKC,0.0,0.0,0.0,0.0,0.0,0.0
ABNB,"Hotels, Resorts & Cruise Lines",NTAP|MSCI|SBUX|VRSN|MAR,MAR|EXPE|RCL|CCL|NCLH,XYZ|FICO|CVS|ACN|INTC,0.0,0.0,0.0,0.0,0.14666666666666667,0.06666666666666667
ABT,Health Care Equipment,VRSK|CAG|BR|COR|JKHY,IDXX|BSX|EW|STE|MDT,TRMB|KEYS|WEC|DE|CCI,0.0,0.2,0.0,0.0,0.06666666666666667,0.0
ADBE,Application Software,BKNG|TDG|FIS|MKC|STZ,PTC|ADSK|SNPS|INTU|ORCL,MGM|FAST|IQV|TMO|NWS,0.0,0.2,0.0,0.0,0.0,0.0
ADI,Semiconductors,C|TXN|ETN|MAR|CASY,SWKS|INTC|NVDA|MPWR|MU,FICO|FOXA|LNT|MAR|WMT,0.0,0.4,0.0,0.15,0.08333333333333333,0.0
ADSK,Application Software,AMCR|PM|STZ|AON|FAST,APP|WDAY|FICO|ORCL|TRMB,BALL|STLD|GE|GD|WM,0.0,0.0,0.0,0.0,0.013333333333333332,0.0
AMD,Semiconductors,INTC|AVGO|ORCL|UNH|MPWR,AVGO|INTC|ADI|MU|QCOM,IBM|MDT|SYF|VST|UAL,0.2,0.2,0.0,0.1325,0.12,0.05454545454545454
APP,Application Software,COIN|NCLH|DDOG|MRNA|LUV,CDNS|CRM|TYL|FICO|PTC,LUV|LNT|MSCI|WEC|TPR,0.0,0.0,0.0,0.1,0.05,0.0
AVGO,Semiconductors,AMZN|GOOGL|AMD|ORCL|TXN,AMD|ADI|ON|NXPI|TXN,HUM|HD|ELV|PTC|KR,0.2,0.2,0.0,0.05099067599067599,0.045054945054945054,0.0
AXON,Aerospace & Defense,NCLH|FICO|UAL|WDAY|APTV,GD|RTX|BA|LHX|HWM,JKHY|TPL|GNRC|ATO|GPN,0.0,0.0,0.0,0.02,0.15634920634920635,0.0
BA,Aerospace & Defense,BX|SYF|NXPI|ROK|TMO,GD|LHX|HII|TDG|NOC,GEV|CB|VRT|TYL|XYZ,0.0,0.8,0.0,0.0,0.17909090909090908,0.016666666666666666
BAX,Health Care Equipment,ZBRA|ELV|MOS|XYZ|SW,ISRG|MDT|ZBH|BDX|STE,IDXX|TGT|ACN|MPC|SNA,0.0,0.0,0.0,0.0,0.02857142857142857,0.06666666666666667
BDX,Health Care Equipment,SJM|HRL|ES|KDP|MMM,ZBH|STE|SYK|BSX|RVTY,TKO|VTRS|EW|ECL|LOW,0.0,0.0,0.0,0.1,0.07857142857142857,0.0
BKNG,"Hotels, Resorts & Cruise Lines",ADBE|MKC|CVS|CRM|SPGI,EXPE|CCL|HLT|ABNB|RCL,TTWO|JBHT|ROK|PPL|ZBH,0.0,0.8,0.0,0.0,0.04157894736842105,0.0
BMY,Pharmaceuticals,BG|SBUX|EG|ZBH|PFE,MRK|PFE|LLY|ZTS|VTRS,JCI|GOOGL|CVS|CDW|KR,0.2,0.4,0.0,0.04,0.19,0.0
BSX,Health Care Equipment,GEN|MKC|WDAY|BKNG|FIS,RVTY|ISRG|EW|STE|MDT,PNC|MNST|FTV|DUK|EQIX,0.0,0.2,0.0,0.0,0.0,0.1
CAG,Packaged Foods & Meats,VRSK|CLX|BR|JKHY|J,SJM|MDLZ|TSN|HRL|MKC,HON|CHRW|TXT|HWM|MAS,0.0,0.0,0.0,0.05,0.36666666666666664,0.0
CCL,"Hotels, Resorts & Cruise Lines",CRWD|UAL|DAL|SWK|LII,HLT|BKNG|EXPE|RCL|MAR,PLTR|ANET|AAPL|NTAP|GEN,0.0,0.2,0.0,0.0,0.04962406015037594,0.0
CDNS,Application Software,PANW|CRWD|HPQ|SWKS|ABNB,ORCL|PTC|ADSK|TYL|TRMB,JKHY|SRE|UNP|DVN|TRMB,0.0,0.0,0.0,0.0,0.0,0.0
CEG,Electric Utilities,NRG|VST|DAL|IP|MOS,PPL|ES|SO|DUK|WEC,ALGN|MA|EA|BG|CTSH,0.0,0.0,0.0,0.0,0.0,0.05818181818181818
CME,Financial Exchanges & Data,MSI|SRE|RSG|WMB|CHD,COIN|MCO|FDS|MSCI|SPGI,COST|CTRA|NDAQ|MKC|GPN,0.0,0.2,0.2,0.0,0.0,0.0
COIN,Financial Exchanges & Data,APP|TTD|NCLH|DDOG|MRNA,MCO|MSCI|CME|ICE|SPGI,SYK|CB|EIX|ETN|LOW,0.0,0.0,0.0,0.0,0.0,0.0
COP,Oil & Gas Exploration & Production,CTRA|FANG|DVN|MPC|OXY,OXY|CTRA|FANG|DVN|TPL,PSKY|TROW|STX|BRK-B|REGN,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
CPAY,Transaction & Payment Processing Services,PYPL|CVS|ODFL|GDDY|TTWO,PYPL|V|MA|JKHY|FISV,STLD|NWS|MPC|SOLV|UBER,0.0,0.4,0.0,0.02,0.025,0.0
CRM,Application Software,ADBE|BKNG|UBER|EFX|FIS,TRMB|FICO|ADSK|PTC|CDNS,NFLX|MSI|COP|LLY|CDW,0.0,0.4,0.0,0.025,0.025,0.0
CRWD,Systems Software,CDNS|PANW|CCL|TEL|LII,NOW|FTNT|GEN|MSFT|PANW,LYV|FICO|CME|SYK|BX,0.2,0.6,0.0,0.06666666666666667,0.20339105339105337,0.0
CTRA,Oil & Gas Exploration & Production,FANG|COP|DVN|MPC|TRGP,TPL|OXY|COP|DVN|FANG,TEL|HPE|COIN|CTVA|EPAM,0.2,0.2,0.0,0.0,0.0,0.0
DDOG,Application Software,NCLH|RCL|GNRC|CEG|NRG,CDNS|INTU|SNPS|APP|ORCL,ZTS|INVH|BX|BSX|TAP,0.0,0.0,0.0,0.05,0.1952380952380952,0.0
DELL,"Technology Hardware, Storage & Peripherals",GLW|GEV|KEYS|DOW|CF,HPQ|SNDK|STX|HPE|WDC,GPN|CI|CIEN|ADBE|TROW,0.0,0.2,0.0,0.0,0.07333333333333333,0.06666666666666667
DHR,Life Sciences Tools & Services,GEHC|LEN|UBER|DG|SOLV,WAT|TECH|IQV|TMO|A,FE|EQIX|NRG|PLTR|T,0.0,0.4,0.0,0.0,0.05,0.0
DUK,Electric Utilities,CB|KO|FE|ATO|SO,WEC|LNT|FE|EIX|ES,TTD|BR|LII|ZTS|MRNA,0.0,0.0,0.0,0.0,0.0,0.0
DVN,Oil & Gas Exploration & Production,FANG|CTRA|COP|TRGP|MPC,COP|CTRA|OXY|FANG|TPL,FTV|MDLZ|SWKS|RSG|AXON,0.2,0.2,0.0,0.0,0.0,0.0
DXCM,Health Care Equipment,LULU|COO|DG|REGN|IDXX,ISRG|EW|RVTY|MDT|PODD,FFIV|GLW|AIG|HWM|ETN,0.0,0.4,0.0,0.03333333333333333,0.275,0.0
EIX,Electric Utilities,TRGP|BKR|WMB|CTVA|MSI,SO|CEG|EVRG|WEC|FE,UNP|CVS|FOX|STX|FAST,0.0,0.2,0.0,0.0,0.2,0.0
ES,Electric Utilities,MMM|BDX|HRL|PKG|OTIS,PPL|LNT|DUK|EVRG|VST,D|BMY|UNH|AZO|GPN,0.0,0.0,0.2,0.0,0.0,0.0
EVRG,Electric Utilities,FE|LNT|PPL|WEC|DUK,DUK|PPL|WEC|FE|EXC,HII|ULTA|CLX|PTC|COST,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
EW,Health Care Equipment,SYK|PKG|ICE|TXT|HON,ABT|BAX|BDX|ZBH|GEHC,HLT|CTVA|PEP|PM|AMZN,0.0,0.2,0.0,0.0,0.0,0.0
EXC,Electric Utilities,SO|WM|CB|DUK|RSG,EIX|CEG|DUK|FE|PPL,GM|AIG|XOM|BMY|IQV,0.0,0.2,0.0,0.0,0.0,0.0
EXPE,"Hotels, Resorts & Cruise Lines",CHRW|APH|MOS|PYPL|XYZ,CCL|HLT|MAR|RCL|BKNG,DD|DAL|RTX|KDP|DLR,0.0,0.2,0.0,0.10666666666666666,0.093859649122807,0.06666666666666667
FANG,Oil & Gas Exploration & Production,CTRA|DVN|COP|TRGP|EIX,DVN|CTRA|COP|OXY|TPL,ETN|CHTR|C|CVX|FIS,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
FDS,Financial Exchanges & Data,BX|DASH|POOL|CDNS|COF,MSCI|CME|COIN|ICE|SPGI,INTU|KR|SNA|UNH|GS,0.0,0.2,0.0,0.0,0.03333333333333333,0.0
FE,Electric Utilities,EVRG|WEC|LNT|DUK|ATO,EVRG|EXC|CEG|PPL|EIX,PYPL|BALL|SBUX|XYL|SW,0.0,0.0,0.0,0.0,0.0,0.0
FICO,Application Software,UAL|NKE|WDAY|AXON|TTD,TYL|TRMB|PLTR|SNPS|ORCL,AVGO|RVTY|PTC|CDW|FTNT,0.0,0.0,0.0,0.0,0.0,0.04
FIS,Transaction & Payment Processing Services,GEN|MKC|BR|ADBE|ADSK,XYZ|V|FISV|PYPL|MA,FICO|WDAY|LOW|CEG|GS,0.0,0.2,0.0,0.0,0.1715151515151515,0.0
FISV,Transaction & Payment Processing Services,SNPS|CNC|LULU|ALGN|DXCM,GPN|MA|JKHY|PYPL|XYZ,ODFL|CPRT|GEV|A|CSX,0.0,0.2,0.0,0.0,0.11636363636363636,0.04
FTNT,Systems Software,CHTR|HAL|CI|FFIV|LYV,GEN|CRWD|NOW|PANW|MSFT,PNC|AON|PKG|ACN|SNDK,0.2,0.6,0.0,0.050793650793650794,0.20339105339105337,0.0
FTV,Industrial Machinery & Supplies & Components,BALL|TSN|CCI|MSCI|NWSA,IR|PNR|PH|SWK|HUBB,LIN|ZTS|VTRS|GDDY|AVY,0.0,0.0,0.0,0.0,0.0,0.0
GD,Aerospace & Defense,LHX|EW|RTX|MDT|JKHY,AXON|HII|LMT|TDG|BA,CPAY|MA|CMI|ABT|ELV,0.2,0.6,0.0,0.14166666666666666,0.20454545454545453,0.0
GE,Aerospace & Defense,GEN|IR|CRM|HWM|BSX,NOC|TXT|HII|LHX|TDG,MOS|HRL|CB|STZ|SNPS,0.0,0.0,0.0,0.0,0.09722222222222222,0.0
GEHC,Health Care Equipment,UBER|DHR|ALLE|IR|GM,BAX|IDXX|SYK|ISRG|EW,HST|UNP|FICO|GNRC|PODD,0.0,0.0,0.0,0.0,0.0,0.0
GEN,Systems Software,FIS|MKC|BR|EFX|IR,CRWD|MSFT|NOW|FTNT|PANW,WDAY|RVTY|AXP|PYPL|HD,0.2,0.2,0.0,0.0,0.07929292929292928,0.04857142857142857
GILD,Biotechnology,SJM|LMT|CAH|PFE|BDX,ABBV|VRTX|REGN|INCY|MRNA,CVS|NTAP|NI|LYV|PTC,0.0,0.0,0.0,0.03333333333333333,0.04,0.11666666666666665
