view,forward_days,mean_embedding_peer_corr,mean_benchmark_peer_corr,mean_corr_diff,median_corr_diff,t_stat,p_value_normal_approx,diff_std,k,benchmark_column,n_observations,n_unique_tickers,n_dates,status,error
business,21,0.3815003082256096,0.6531810416281558,-0.2716807334025463,-0.21099708544178553,-40.24169657192241,0.0,0.3019994160268851,5.0,gics_sub_industry,2001,217.0,10.0,ok,
business,63,0.47618920065615,0.6771928510028575,-0.20100365034670745,-0.1390517368813159,-38.250504601330604,0.0,0.23506627219742687,5.0,gics_sub_industry,2001,217.0,10.0,ok,
business,126,0.47687017626079253,0.6738232926867238,-0.1969531164259312,-0.14285425800423604,-40.824534605430195,0.0,0.2155370244797985,5.0,gics_sub_industry,1996,217.0,10.0,ok,
business,252,0.4857001064586426,0.6748011410930767,-0.18910103463443398,-0.1393343330011717,-44.97745905818007,0.0,0.18760077066536884,5.0,gics_sub_industry,1991,216.0,10.0,ok,
business,504,0.5267472071920848,0.7040360218227655,-0.17728881463068075,-0.1293184787557481,-45.98189682488028,0.0,0.17100020601899465,5.0,gics_sub_industry,1967,215.0,10.0,ok,
behavioral,21,0.552894854594328,0.6531810416281558,-0.10028618703382787,-0.06736388922073144,-19.92507290986821,0.0,0.2251462638088532,5.0,gics_sub_industry,2001,217.0,10.0,ok,
behavioral,63,0.604971453604115,0.6771928510028575,-0.07222139739874253,-0.056602662986865004,-21.5016983603813,0.0,0.1502507562420212,5.0,gics_sub_industry,2001,217.0,10.0,ok,
behavioral,126,0.6030437343526549,0.6738232926867238,-0.07077955833406897,-0.05898798524795987,-24.040168827308168,0.0,0.1315378089655925,5.0,gics_sub_industry,1996,217.0,10.0,ok,
behavioral,252,0.6024683726366601,0.6748011410930767,-0.07233276845641656,-0.06308065534379875,-28.040821629899657,0.0,0.11510123479779294,5.0,gics_sub_industry,1991,216.0,10.0,ok,
behavioral,504,0.6251088600180918,0.7040360218227655,-0.0789271618046737,-0.06795852551297965,-33.44964606376962,0.0,0.10464949553864351,5.0,gics_sub_industry,1967,215.0,10.0,ok,
growth,21,,,,,,,,,,0,,,no_valid_observations,Peer evaluation produced no valid paired correlations.
growth,63,,,,,,,,,,0,,,no_valid_observations,Peer evaluation produced no valid paired correlations.
growth,126,,,,,,,,,,0,,,no_valid_observations,Peer evaluation produced no valid paired correlations.
growth,252,,,,,,,,,,0,,,no_valid_observations,Peer evaluation produced no valid paired correlations.
growth,504,,,,,,,,,,0,,,no_valid_observations,Peer evaluation produced no valid paired correlations.
network,21,0.44363404606785917,0.6531810416281558,-0.2095469955602967,-0.17219587830395,-35.71173346888273,0.0,0.2624786907388898,5.0,gics_sub_industry,2001,217.0,10.0,ok,
network,63,0.509463397707256,0.6771928510028575,-0.16772945329560154,-0.1353307933758906,-39.83021792430003,0.0,0.18837366745427403,5.0,gics_sub_industry,2001,217.0,10.0,ok,
network,126,0.5049004767559578,0.6738232926867238,-0.16892281593076588,-0.13954051696111364,-44.22534821795478,0.0,0.17064647430803562,5.0,gics_sub_industry,1996,217.0,10.0,ok,
network,252,0.5067279308224657,0.6748011410930767,-0.1680732102706111,-0.13923771506296434,-49.30785755125841,0.0,0.15209607008196538,5.0,gics_sub_industry,1991,216.0,10.0,ok,
network,504,0.5463362439930647,0.7040360218227655,-0.15769977782970085,-0.13115687272266374,-50.44034260830249,0.0,0.1386612891786852,5.0,gics_sub_industry,1967,215.0,10.0,ok,
