ticker,date,gics_sub_industry,embedding_peers,benchmark_peers,embedding_peer_corr,benchmark_peer_corr,corr_diff
A,2011-10-31,Life Sciences Tools & Services,ON|CMI|REGN|STLD|RCL,WAT|CRL|DHR|MTD|TMO,0.8471130660977026,0.9150503340250437,-0.067937267927341
ABT,2011-10-31,Health Care Equipment,SYK|CL|PG|DGX|FAST,EW|IDXX|ISRG|MDT|ZBH,0.951339518445836,0.8837240161548314,0.06761550229100455
ACGL,2011-10-31,Property & Casualty Insurance,NEE|OKE|OMC|ROST|LLY,CINF|HIG|PGR|CB|WRB,0.6653648887400891,0.7948296675787137,-0.1294647788386245
ADBE,2011-10-31,Application Software,KLAC|EW|ISRG|EBAY|AMAT,ADSK|CDNS|PTC|TRMB|FICO,0.8919671955613186,0.877119324334967,0.014847871226351672
ADI,2011-10-31,Semiconductors,AMAT|TXN|DHR|INTU|SNPS,MU|NXPI|MPWR|TXN|ON,0.9270744701820616,0.881638740052516,0.045435730129545604
ADSK,2011-10-31,Application Software,AKAM|CF|NTAP|EBAY|PH,SNPS|ADBE|ORCL|TYL|CDNS,0.7611311051009644,0.8766618606255351,-0.1155307555245707
AEE,2011-10-31,Multi-Utilities,PEG|XEL|PAYX|PCG|AWK,CMS|SRE|DTE|D|NI,0.8752933822569693,0.9060722332778414,-0.030778851020872078
AEP,2011-10-31,Electric Utilities,GIS|DTE|ETR|CPB|CMS,EXC|LNT|PEG|EIX|WEC,0.9448959624370518,0.9432660437916777,0.0016299186453740955
ALB,2011-10-31,Specialty Chemicals,MTD|AFL|EOG|WSM|MET,ECL|LYB|IFF|DD|PPG,0.9484963331854156,0.9589164213707067,-0.010420088185291054
ALL,2011-10-31,Property & Casualty Insurance,IEX|PNC|PKG|FDX|JBHT,ACGL|TRV|CB|HIG|CINF,0.8510284931764729,0.8501573970338816,0.0008710961425912878
AMD,2011-10-31,Semiconductors,ON|COHR|TMUS|DAL|FICO,FSLR|QCOM|MCHP|ON|AVGO,0.8681960410907507,0.8677120346802903,0.0004840064104603137
AMP,2011-10-31,Asset Management & Custody Banks,FCX|MET|FITB|KEY|ALB,BK|BX|TROW|NTRS|IVZ,0.9507279201866282,0.9789328302272917,-0.0282049100406635
APA,2011-10-31,Oil & Gas Exploration & Production,REG|CI|PLD|CBOE|VTRS,OXY|CTRA|EQT|DVN|COP,0.8834439448682938,0.9436287613554059,-0.06018481648711205
AVGO,2011-10-31,Semiconductors,HON|MDT|BLK|CHTR|BKR,ON|QCOM|ADI|INTC|FSLR,0.7248281797194482,0.7860720471538124,-0.06124386743436416
AXON,2011-10-31,Aerospace & Defense,MPWR|GNRC|TKO|PODD|TYL,LMT|RTX|BA|TDG|GD,0.6472216059238499,0.7404077851503756,-0.09318617922652572
BA,2011-10-31,Aerospace & Defense,WAT|CRM|CAT|MA|AXP,LMT|NOC|GE|RTX|LHX,0.8679920637772248,0.9277828753828015,-0.059790811605576644
BAC,2011-10-31,Diversified Banks,JPM|TMUS|BX|COHR|C,JPM|WFC|PNC|USB|C,0.8987343236795121,0.9013913299353741,-0.00265700625586196
BAX,2011-10-31,Health Care Equipment,JCI|SPGI|APD|DGX|FISV,ZBH|ISRG|EW|IDXX|ABT,0.8371437654297166,0.8076362733584477,0.029507492071268904
BDX,2011-10-31,Health Care Equipment,LLY|MKC|ADP|BALL|TGT,ISRG|ABT|RVTY|STE|MDT,0.636476323547474,0.7012210391503814,-0.0647447156029074
BEN,2011-10-31,Asset Management & Custody Banks,RMD|TROW|AMP|BBY|BK,AMP|NTRS|BLK|STT|IVZ,0.953926510542354,0.9665389117815925,-0.012612401239238458
BK,2011-10-31,Asset Management & Custody Banks,EOG|MAR|USB|TT|F,NTRS|KKR|AMP|BLK|STT,0.8975357315481535,0.9619575431017033,-0.06442181155354987
