method,rebalance_date,date,portfolio_return,turnover,n_assets
sample,2024-01-31,2024-02-01,0.007850280800281963,0.0,76
sample,2024-01-31,2024-02-02,0.00181625059749218,0.0,76
sample,2024-01-31,2024-02-05,-0.00490082164486504,0.0,76
sample,2024-01-31,2024-02-06,0.0006422361098745316,0.0,76
sample,2024-01-31,2024-02-07,0.014147986418630592,0.0,76
sample,2024-01-31,2024-02-08,-0.003744657757787823,0.0,76
sample,2024-01-31,2024-02-09,0.0022955026703787495,0.0,76
sample,2024-01-31,2024-02-12,0.0002689461596535672,0.0,76
sample,2024-01-31,2024-02-13,-0.0016646104059062773,0.0,76
sample,2024-01-31,2024-02-14,0.011666885086053026,0.0,76
sample,2024-01-31,2024-02-15,0.00443635660580837,0.0,76
sample,2024-01-31,2024-02-16,0.0009382207536918559,0.0,76
sample,2024-01-31,2024-02-20,0.0006959092745808682,0.0,76
sample,2024-01-31,2024-02-21,0.0045913952866912435,0.0,76
sample,2024-01-31,2024-02-22,0.019377673445760187,0.0,76
sample,2024-01-31,2024-02-23,0.003919178668603024,0.0,76
sample,2024-01-31,2024-02-26,-0.00500585018904201,0.0,76
sample,2024-01-31,2024-02-27,-0.0013001632326038312,0.0,76
sample,2024-01-31,2024-02-28,0.00664461739081136,0.0,76
sample,2024-01-31,2024-02-29,-0.008277001913455016,0.0,76
sample,2024-01-31,2024-03-01,-0.007365012056376784,0.0,76
ledoit_wolf,2024-01-31,2024-02-01,0.008409376818285245,0.0,76
ledoit_wolf,2024-01-31,2024-02-02,0.0013382658981734587,0.0,76
ledoit_wolf,2024-01-31,2024-02-05,-0.005497065780932129,0.0,76
ledoit_wolf,2024-01-31,2024-02-06,0.0004207035864333235,0.0,76
ledoit_wolf,2024-01-31,2024-02-07,0.014016568898335604,0.0,76
ledoit_wolf,2024-01-31,2024-02-08,-0.003785573478022758,0.0,76
ledoit_wolf,2024-01-31,2024-02-09,0.002462578182981493,0.0,76
ledoit_wolf,2024-01-31,2024-02-12,0.0007178869643255224,0.0,76
ledoit_wolf,2024-01-31,2024-02-13,-0.0021064404053443763,0.0,76
ledoit_wolf,2024-01-31,2024-02-14,0.011843769997488747,0.0,76
ledoit_wolf,2024-01-31,2024-02-15,0.004347602258665818,0.0,76
ledoit_wolf,2024-01-31,2024-02-16,0.0002754526038995074,0.0,76
ledoit_wolf,2024-01-31,2024-02-20,-0.0003024451775929778,0.0,76
ledoit_wolf,2024-01-31,2024-02-21,0.004534722104405179,0.0,76
ledoit_wolf,2024-01-31,2024-02-22,0.019208897853671594,0.0,76
ledoit_wolf,2024-01-31,2024-02-23,0.003789560046685611,0.0,76
ledoit_wolf,2024-01-31,2024-02-26,-0.00394969261934172,0.0,76
ledoit_wolf,2024-01-31,2024-02-27,-0.0006842447253342472,0.0,76
ledoit_wolf,2024-01-31,2024-02-28,0.006201099809550046,0.0,76
ledoit_wolf,2024-01-31,2024-02-29,-0.00785789985444526,0.0,76
ledoit_wolf,2024-01-31,2024-03-01,-0.007223612443785743,0.0,76
embedding_prior,2024-01-31,2024-02-01,0.007482546022321987,0.0,76
embedding_prior,2024-01-31,2024-02-02,0.0021227599117430215,0.0,76
embedding_prior,2024-01-31,2024-02-05,-0.004373472942358575,0.0,76
embedding_prior,2024-01-31,2024-02-06,0.0015507745210969772,0.0,76
embedding_prior,2024-01-31,2024-02-07,0.012153667845585065,0.0,76
embedding_prior,2024-01-31,2024-02-08,-0.0031895296219508693,0.0,76
embedding_prior,2024-01-31,2024-02-09,0.001589035249093441,0.0,76
embedding_prior,2024-01-31,2024-02-12,0.0014798396692055596,0.0,76
embedding_prior,2024-01-31,2024-02-13,-0.002110564740584088,0.0,76
embedding_prior,2024-01-31,2024-02-14,0.009960201608583954,0.0,76
embedding_prior,2024-01-31,2024-02-15,0.006793511305014648,0.0,76
embedding_prior,2024-01-31,2024-02-16,0.0010197349393673409,0.0,76
embedding_prior,2024-01-31,2024-02-20,0.00030293838518761183,0.0,76
embedding_prior,2024-01-31,2024-02-21,0.005637797033512948,0.0,76
embedding_prior,2024-01-31,2024-02-22,0.019938682655610163,0.0,76
embedding_prior,2024-01-31,2024-02-23,0.003297763567708779,0.0,76
embedding_prior,2024-01-31,2024-02-26,-0.005303855800734593,0.0,76
embedding_prior,2024-01-31,2024-02-27,-0.002277543189500841,0.0,76
embedding_prior,2024-01-31,2024-02-28,0.007574080858034094,0.0,76
embedding_prior,2024-01-31,2024-02-29,-0.009133277815173518,0.0,76
embedding_prior,2024-01-31,2024-03-01,-0.007011408937074151,0.0,76
multiview,2024-01-31,2024-02-01,0.008686435337623895,0.0,76
multiview,2024-01-31,2024-02-02,6.534960211399937e-05,0.0,76
multiview,2024-01-31,2024-02-05,-0.005727399744019406,0.0,76
multiview,2024-01-31,2024-02-06,-7.564707646044337e-05,0.0,76
multiview,2024-01-31,2024-02-07,0.011030737290970313,0.0,76
multiview,2024-01-31,2024-02-08,-0.007066410046586767,0.0,76
multiview,2024-01-31,2024-02-09,0.003851000782870165,0.0,76
multiview,2024-01-31,2024-02-12,0.00075921593086766,0.0,76
multiview,2024-01-31,2024-02-13,-0.0005193262219956489,0.0,76
multiview,2024-01-31,2024-02-14,0.014690812589071244,0.0,76
multiview,2024-01-31,2024-02-15,0.003176914873067942,0.0,76
multiview,2024-01-31,2024-02-16,-0.0031888612053090105,0.0,76
multiview,2024-01-31,2024-02-20,-0.004957110989430376,0.0,76
multiview,2024-01-31,2024-02-21,0.008454979367102124,0.0,76
multiview,2024-01-31,2024-02-22,0.0198715308738553,0.0,76
multiview,2024-01-31,2024-02-23,0.0002027043220313998,0.0,76
multiview,2024-01-31,2024-02-26,0.001650210733858175,0.0,76
