view,forward_days,mean_embedding_peer_corr,mean_benchmark_peer_corr,mean_corr_diff,median_corr_diff,t_stat,p_value_normal_approx,diff_std,k,benchmark_column,n_observations,n_unique_tickers,n_dates,status,error
business,21,0.5517656965844306,0.6316293614888692,-0.07986366490443862,-0.06157613954544472,-5.535162194556847,3.1094047558966054e-08,0.21690676843257484,5.0,gics_sub_industry,226,198.0,3.0,ok,
business,63,0.524005787115885,0.4913367384364638,0.03266904867942109,0.013463541592899142,0.7028557146147069,0.4821456719620496,0.12297570693039464,5.0,gics_sub_industry,7,7.0,1.0,ok,
business,126,,,,,,,,,,0,,,no_valid_observations,Peer evaluation produced no valid paired correlations.
business,252,,,,,,,,,,0,,,no_valid_observations,No peer-evaluation observations had enough metadata and forward returns.
business,504,,,,,,,,,,0,,,no_valid_observations,No peer-evaluation observations had enough metadata and forward returns.
behavioral,21,0.552894854594328,0.6531810416281558,-0.10028618703382787,-0.06736388922073144,-19.92507290986821,0.0,0.2251462638088532,5.0,gics_sub_industry,2001,217.0,10.0,ok,
behavioral,63,0.604971453604115,0.6771928510028575,-0.07222139739874253,-0.056602662986865004,-21.5016983603813,0.0,0.1502507562420212,5.0,gics_sub_industry,2001,217.0,10.0,ok,
behavioral,126,0.6030437343526549,0.6738232926867238,-0.07077955833406897,-0.05898798524795987,-24.040168827308168,0.0,0.1315378089655925,5.0,gics_sub_industry,1996,217.0,10.0,ok,
behavioral,252,0.6024683726366601,0.6748011410930767,-0.07233276845641656,-0.06308065534379875,-28.040821629899657,0.0,0.11510123479779294,5.0,gics_sub_industry,1991,216.0,10.0,ok,
behavioral,504,0.6251088600180918,0.7040360218227655,-0.0789271618046737,-0.06795852551297965,-33.44964606376962,0.0,0.10464949553864351,5.0,gics_sub_industry,1967,215.0,10.0,ok,
growth,21,0.4759810588417792,0.6555604573585659,-0.17957939851678684,-0.14492162587642804,-30.095035240059698,0.0,0.25927619905000004,5.0,gics_sub_industry,1888,216.0,10.0,ok,
growth,63,0.5353216251627895,0.6778450973380897,-0.14252347217530037,-0.10665491469793513,-33.853134033924725,0.0,0.18283458806892736,5.0,gics_sub_industry,1886,216.0,10.0,ok,
growth,126,0.5384751331221233,0.6790371684440529,-0.14056203532192962,-0.11178201299613066,-38.3253899847323,0.0,0.16589537137059676,5.0,gics_sub_industry,2046,216.0,11.0,ok,
growth,252,0.546120047042454,0.6864872536670733,-0.14036720662461938,-0.11763279950643324,-43.602565630225826,0.0,0.14461528367398097,5.0,gics_sub_industry,2018,215.0,11.0,ok,
growth,504,0.5799043862252649,0.7117570053295756,-0.13185261910431076,-0.1052181673217526,-43.554650662169145,0.0,0.13460387446616368,5.0,gics_sub_industry,1977,213.0,11.0,ok,
network,21,0.28696217069456914,0.5848946263426081,-0.297932455648039,-0.28833808746107975,-44.322031519390386,0.0,0.29706349042567604,5.0,gics_sub_industry,1953,217.0,9.0,ok,
network,63,0.27155089253029496,0.5717082687599124,-0.3001573762296175,-0.29987760437208444,-53.632318784502765,0.0,0.23318322627281018,5.0,gics_sub_industry,1736,217.0,8.0,ok,
network,126,0.26117764343452776,0.5683930138847023,-0.30721537045017455,-0.3075858681864987,-48.978509300536544,0.0,0.20661043235284127,5.0,gics_sub_industry,1085,217.0,5.0,ok,
network,252,,,,,,,,,,0,,,no_valid_observations,No peer-evaluation observations had enough metadata and forward returns.
network,504,,,,,,,,,,0,,,no_valid_observations,No peer-evaluation observations had enough metadata and forward returns.
