ticker,date,gics_sub_industry,embedding_peers,benchmark_peers,embedding_peer_corr,benchmark_peer_corr,corr_diff
A,2011-10-31,Life Sciences Tools & Services,HAL|AMP|SWKS|ON|HIG,WAT|CRL|DHR|MTD|TMO,0.9263626284159009,0.9150503340250437,0.011312294390857236
ABT,2011-10-31,Health Care Equipment,MCD|APD|ZBH|DGX|WMT,EW|IDXX|ISRG|MDT|ZBH,0.9057078083439123,0.8837240161548314,0.021983792189080864
ACGL,2011-10-31,Property & Casualty Insurance,OMC|ROST|GD|NEE|EG,CINF|HIG|PGR|CB|WRB,0.7589715260499622,0.7948296675787137,-0.03585814152875144
ADBE,2011-10-31,Application Software,CSCO|NTAP|EW|SYK|FAST,ADSK|CDNS|PTC|TRMB|FICO,0.8901324198382159,0.877119324334967,0.013013095503248917
ADI,2011-10-31,Semiconductors,SNPS|MCHP|DHR|BA|INTU,MU|NXPI|MPWR|TXN|ON,0.9165094712393022,0.881638740052516,0.034870731186786186
ADSK,2011-10-31,Application Software,NVDA|CRM|AKAM|FFIV|NTAP,SNPS|ADBE|ORCL|TYL|CDNS,0.8244460109741619,0.8766618606255351,-0.05221584965137316
AEE,2011-10-31,Multi-Utilities,RSG|PEG|XEL|YUM|AWK,CMS|SRE|DTE|D|NI,0.8553920347782069,0.9060722332778414,-0.050680198499634455
AEP,2011-10-31,Electric Utilities,KR|WEC|DTE|ETR|CAG,EXC|LNT|PEG|EIX|WEC,0.9442860896289038,0.9432660437916777,0.0010200458372261467
ALB,2011-10-31,Specialty Chemicals,ROK|MTD|FITB|MET|CMI,ECL|LYB|IFF|DD|PPG,0.9354276521245429,0.9589164213707067,-0.02348876924616372
ALL,2011-10-31,Property & Casualty Insurance,UNH|FDX|JBHT|AES|GL,ACGL|TRV|CB|HIG|CINF,0.8420811446200707,0.8501573970338816,-0.008076252413810936
AMD,2011-10-31,Semiconductors,HBAN|PFG|UAL|BX|AIG,FSLR|QCOM|MCHP|ON|AVGO,0.8963589552358909,0.8677120346802903,0.028646920555600586
AMP,2011-10-31,Asset Management & Custody Banks,HAL|FITB|KEY|AIG|FCX,BK|BX|TROW|NTRS|IVZ,0.9561589784310743,0.9789328302272917,-0.02277385179621738
APA,2011-10-31,Oil & Gas Exploration & Production,AVGO|VTRS|REG|ETN|CI,OXY|CTRA|EQT|DVN|COP,0.8980981053999819,0.9436287613554059,-0.04553065595542394
AVGO,2011-10-31,Semiconductors,APA|VTRS|REG|ETN|DLR,ON|QCOM|ADI|INTC|FSLR,0.6848054320207637,0.7860720471538124,-0.10126661513304869
AXON,2011-10-31,Aerospace & Defense,MPWR|CRH|GNRC|TKO|SMCI,LMT|RTX|BA|TDG|GD,0.7475831056431669,0.7404077851503756,0.007175320492791237
BA,2011-10-31,Aerospace & Defense,DHR|DE|MMM|EQR|DOV,LMT|NOC|GE|RTX|LHX,0.8788704698238906,0.9277828753828015,-0.048912405558910854
BAC,2011-10-31,Diversified Banks,MS|C|RF|HAL|HIG,JPM|WFC|PNC|USB|C,0.8826533674544695,0.9013913299353741,-0.018737962480904535
BAX,2011-10-31,Health Care Equipment,JCI|CTAS|TMO|DGX|FISV,ZBH|ISRG|EW|IDXX|ABT,0.8571297086217202,0.8076362733584477,0.049493435263272545
