ticker,date,gics_sub_industry,embedding_peers,benchmark_peers,embedding_peer_corr,benchmark_peer_corr,corr_diff
A,2011-10-31,Life Sciences Tools & Services,TECH|BMY|INTC|DD|NXPI,WAT|CRL|DHR|MTD|TMO,0.9052440610641438,0.9150503340250437,-0.009806272960899864
ABT,2011-10-31,Health Care Equipment,CAH|CBRE|BDX|BAX|BSX,EW|IDXX|ISRG|MDT|ZBH,0.9194808426204931,0.8837240161548314,0.035756826465661695
ACGL,2011-10-31,Property & Casualty Insurance,WTW|AJG|CBRE|EG|MET,CINF|HIG|PGR|CB|WRB,0.7889192339243153,0.7948296675787137,-0.0059104336543983615
ADBE,2011-10-31,Application Software,MSFT|CRM|ADSK|CSCO|T,ADSK|CDNS|PTC|TRMB|FICO,0.9102019363961108,0.877119324334967,0.03308261206114382
ADI,2011-10-31,Semiconductors,TXN|STX|TER|STE|GOOG,MU|NXPI|MPWR|TXN|ON,0.9251510880665128,0.881638740052516,0.04351234801399684
ADSK,2011-10-31,Application Software,BG|AVGO|APA|STE|PSKY,SNPS|ADBE|ORCL|TYL|CDNS,0.8728051986606579,0.8766618606255351,-0.003856661964877217
AEE,2011-10-31,Multi-Utilities,AME|DVN|NEM|TKO|DPZ,CMS|SRE|DTE|D|NI,0.843612335849903,0.9060722332778414,-0.06245989742793834
AEP,2011-10-31,Electric Utilities,PNW|XEL|LNT|PPL|PCG,EXC|LNT|PEG|EIX|WEC,0.9413249098179762,0.9432660437916777,-0.0019411339737014366
ALB,2011-10-31,Specialty Chemicals,SW|ICE|CI|STE|JKHY,ECL|LYB|IFF|DD|PPG,0.7313055257407595,0.9589164213707067,-0.22761089562994719
ALL,2011-10-31,Property & Casualty Insurance,AIZ|PGR|PRU|WRB|AON,ACGL|TRV|CB|HIG|CINF,0.842861114290312,0.8501573970338816,-0.007296282743569638
AMD,2011-10-31,Semiconductors,KEY|NTAP|PSA|CRL|REGN,FSLR|QCOM|MCHP|ON|AVGO,0.8440079522506441,0.8677120346802903,-0.023704082429646278
AMP,2011-10-31,Asset Management & Custody Banks,IVZ|GOOGL|DIS|EVRG|DPZ,BK|BX|TROW|NTRS|IVZ,0.9537123738266364,0.9789328302272917,-0.02522045640065529
