ticker,date,gics_sub_industry,embedding_peers,benchmark_peers,embedding_peer_corr,benchmark_peer_corr,corr_diff
A,2011-10-31,Life Sciences Tools & Services,INTC|TECH|CRH|BG|MDT,WAT|CRL|DHR|MTD|TMO,0.9083056394336791,0.9150503340250437,-0.0067446945913645084
ABT,2011-10-31,Health Care Equipment,BSX|HAS|CBRE|BDX|IBKR,EW|IDXX|ISRG|MDT|ZBH,0.9478464496887975,0.8837240161548314,0.06412243353396607
ACGL,2011-10-31,Property & Casualty Insurance,WTW|CB|MET|EG|L,CINF|HIG|PGR|CB|WRB,0.8301919325909706,0.7948296675787137,0.03536226501225692
ADBE,2011-10-31,Application Software,MSFT|AKAM|CSCO|CRM|PNW,ADSK|CDNS|PTC|TRMB|FICO,0.8948901615462066,0.877119324334967,0.01777083721123962
ADI,2011-10-31,Semiconductors,TXN|ON|ADSK|INTC|ROP,MU|NXPI|MPWR|TXN|ON,0.9327394395552804,0.881638740052516,0.05110069950276441
ADSK,2011-10-31,Application Software,PTC|CTSH|SHW|MDT|LYB,SNPS|ADBE|ORCL|TYL|CDNS,0.8720575688016841,0.8766618606255351,-0.0046042918238510255
AEE,2011-10-31,Multi-Utilities,AME|ES|AMP|MDT|APA,CMS|SRE|DTE|D|NI,0.8377693443072761,0.9060722332778414,-0.06830288897056525
AEP,2011-10-31,Electric Utilities,XEL|LNT|WEC|ADBE|ROK,EXC|LNT|PEG|EIX|WEC,0.9014561784510597,0.9432660437916777,-0.041809865340617924
ALB,2011-10-31,Specialty Chemicals,XEL|DD|VTRS|PSKY|CRH,ECL|LYB|IFF|DD|PPG,0.917076219952996,0.9589164213707067,-0.04184020141771061
ALL,2011-10-31,Property & Casualty Insurance,MET|PGR|TRV|AON|CB,ACGL|TRV|CB|HIG|CINF,0.8284620196685182,0.8501573970338816,-0.021695377365363422
AMD,2011-10-31,Semiconductors,KEY|NTAP|PSA|NVDA|CRL,FSLR|QCOM|MCHP|ON|AVGO,0.9046925987354267,0.8677120346802903,0.03698056405513639
AMP,2011-10-31,Asset Management & Custody Banks,BX|DG|DD|BG|DIS,BK|BX|TROW|NTRS|IVZ,0.9490723234660436,0.9789328302272917,-0.029860506761248073
APA,2011-10-31,Oil & Gas Exploration & Production,SW|CRH|DPZ|JKHY|STE,OXY|CTRA|EQT|DVN|COP,0.8344168806730186,0.9436287613554059,-0.1092118806823873
AVGO,2011-10-31,Semiconductors,SW|CRH|DPZ|APA|JKHY,ON|QCOM|ADI|INTC|FSLR,0.7153831022893754,0.7860720471538124,-0.070688944864437
