ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
A,Life Sciences Tools & Services,BSX|PTC|NDAQ|DHR|FOX,IQV|DHR|WAT|TMO|TECH,TPL|UNH|DLTR|DVN|AMZN,0.2,0.4,0.0,0.03333333333333333,0.051515151515151514,0.0
AAPL,"Technology Hardware, Storage & Peripherals",ADSK|APP|NWS|FOX|QCOM,STX|HPQ|SNDK|WDC|DELL,WTW|HAL|IQV|LUV|HWM,0.0,0.0,0.0,0.1,0.0,0.0
ABBV,Biotechnology,ABT|GILD|BDX|LLY|TECH,MRNA|REGN|GILD|INCY|VRTX,AMAT|TECH|BKR|CDNS|MKC,0.0,0.0,0.0,0.0,0.0,0.0
ABNB,"Hotels, Resorts & Cruise Lines",NWS|FOX|GDDY|BKNG|SYF,MAR|EXPE|RCL|CCL|NCLH,XYZ|FICO|CVS|ACN|INTC,0.2,0.0,0.0,0.025,0.14666666666666667,0.06666666666666667
ABT,Health Care Equipment,ABBV|GILD|BDX|CAH|MCK,IDXX|BSX|EW|STE|MDT,TRMB|KEYS|WEC|DE|CCI,0.0,0.2,0.0,0.0,0.06666666666666667,0.0
ADBE,Application Software,GEN|EPAM|GDDY|CRM|AKAM,PTC|ADSK|SNPS|INTU|ORCL,MGM|FAST|IQV|TMO|NWS,0.0,0.2,0.0,0.04,0.0,0.0
ADI,Semiconductors,SNPS|MPWR|TXN|KEYS|MU,SWKS|INTC|NVDA|MPWR|MU,FICO|FOXA|LNT|MAR|WMT,0.2,0.4,0.0,0.21666666666666665,0.08333333333333333,0.0
ADSK,Application Software,NWS|FOX|COHR|INTC|GPC,APP|WDAY|FICO|ORCL|TRMB,BALL|STLD|GE|GD|WM,0.0,0.0,0.0,0.0,0.013333333333333332,0.0
AMD,Semiconductors,DE|PSA|REGN|CDNS|NWS,AVGO|INTC|ADI|MU|QCOM,IBM|MDT|SYF|VST|UAL,0.0,0.2,0.0,0.0,0.12,0.05454545454545454
APP,Application Software,GDDY|CRM|NWS|FOX|WDAY,CDNS|CRM|TYL|FICO|PTC,LUV|LNT|MSCI|WEC|TPR,0.0,0.0,0.0,0.2,0.05,0.0
AVGO,Semiconductors,FOX|NWS|DELL|PH|ALLE,AMD|ADI|ON|NXPI|TXN,HUM|HD|ELV|PTC|KR,0.2,0.2,0.0,0.05,0.045054945054945054,0.0
AXON,Aerospace & Defense,CRWD|CRM|PLTR|ALLE|HPQ,GD|RTX|BA|LHX|HWM,JKHY|TPL|GNRC|ATO|GPN,0.0,0.0,0.0,0.0,0.15634920634920635,0.0
BA,Aerospace & Defense,HON|RTX|LMT|TXT|DAL,GD|LHX|HII|TDG|NOC,GEV|CB|VRT|TYL|XYZ,0.6,0.8,0.0,0.09510489510489512,0.17909090909090908,0.016666666666666666
BAX,Health Care Equipment,PFE|LLY|VTRS|KVUE|ZBH,ISRG|MDT|ZBH|BDX|STE,IDXX|TGT|ACN|MPC|SNA,0.0,0.0,0.0,0.0,0.02857142857142857,0.06666666666666667
BDX,Health Care Equipment,BMY|ABBV|BAX|ABT|GILD,ZBH|STE|SYK|BSX|RVTY,TKO|VTRS|EW|ECL|LOW,0.0,0.0,0.0,0.0,0.07857142857142857,0.0
BKNG,"Hotels, Resorts & Cruise Lines",ABNB|HLT|DAL|LUV|UPS,EXPE|CCL|HLT|ABNB|RCL,TTWO|JBHT|ROK|PPL|ZBH,0.6,0.8,0.0,0.019047619047619046,0.04157894736842105,0.0
BMY,Pharmaceuticals,BSX|SOLV|BDX|PFE|MDT,MRK|PFE|LLY|ZTS|VTRS,JCI|GOOGL|CVS|CDW|KR,0.2,0.4,0.0,0.04,0.19,0.0
BSX,Health Care Equipment,PFE|ELV|GEHC|MDT|SOLV,RVTY|ISRG|EW|STE|MDT,PNC|MNST|FTV|DUK|EQIX,0.0,0.2,0.0,0.02222222222222222,0.0,0.1
CAG,Packaged Foods & Meats,MDLZ|SJM|AMCR|HRL|TSN,SJM|MDLZ|TSN|HRL|MKC,HON|CHRW|TXT|HWM|MAS,0.0,0.0,0.0,0.26666666666666666,0.36666666666666664,0.0
CCL,"Hotels, Resorts & Cruise Lines",NCLH|TEL|UAL|OTIS|UBER,HLT|BKNG|EXPE|RCL|MAR,PLTR|ANET|AAPL|NTAP|GEN,0.2,0.2,0.0,0.03333333333333333,0.04962406015037594,0.0
CDNS,Application Software,AMD|FOX|NWS|REGN|DE,ORCL|PTC|ADSK|TYL|TRMB,JKHY|SRE|UNP|DVN|TRMB,0.0,0.0,0.0,0.0,0.0,0.0
CEG,Electric Utilities,TEL|NWS|FOX|VST|MDLZ,PPL|ES|SO|DUK|WEC,ALGN|MA|EA|BG|CTSH,0.0,0.0,0.0,0.0,0.0,0.05818181818181818
