ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
A,Life Sciences Tools & Services,LDOS|FDS|MCK|WAB|SBUX,IQV|DHR|WAT|TMO|TECH,TPL|UNH|DLTR|DVN|AMZN,0.0,0.4,0.0,0.0,0.051515151515151514,0.0
AAPL,"Technology Hardware, Storage & Peripherals",PLTR|GS|ADSK|XOM|QCOM,STX|HPQ|SNDK|WDC|DELL,WTW|HAL|IQV|LUV|HWM,0.0,0.0,0.0,0.15,0.0,0.0
ABBV,Biotechnology,ABT|SPGI|LIN|CPRT|VRTX,MRNA|REGN|GILD|INCY|VRTX,AMAT|TECH|BKR|CDNS|MKC,0.0,0.0,0.0,0.0,0.0,0.0
ABNB,"Hotels, Resorts & Cruise Lines",AMAT|LOW|KVUE|ADSK|FISV,MAR|EXPE|RCL|CCL|NCLH,XYZ|FICO|CVS|ACN|INTC,0.0,0.0,0.0,0.05,0.14666666666666667,0.06666666666666667
ABT,Health Care Equipment,BAX|CPRT|SPGI|GS|ICE,IDXX|BSX|EW|STE|MDT,TRMB|KEYS|WEC|DE|CCI,0.0,0.2,0.0,0.0,0.06666666666666667,0.0
ADBE,Application Software,CTAS|TTD|SNA|APP|EPAM,PTC|ADSK|SNPS|INTU|ORCL,MGM|FAST|IQV|TMO|NWS,0.0,0.2,0.0,0.0,0.0,0.0
ADI,Semiconductors,NXPI|UNP|GD|ON|EA,SWKS|INTC|NVDA|MPWR|MU,FICO|FOXA|LNT|MAR|WMT,0.4,0.4,0.0,0.11333333333333333,0.08333333333333333,0.0
ADSK,Application Software,TRMB|MSI|SYK|ALGN|ETN,APP|WDAY|FICO|ORCL|TRMB,BALL|STLD|GE|GD|WM,0.0,0.0,0.0,0.0,0.013333333333333332,0.0
AMD,Semiconductors,RCL|CIEN|INTC|FFIV|COST,AVGO|INTC|ADI|MU|QCOM,IBM|MDT|SYF|VST|UAL,0.0,0.2,0.0,0.1933333333333333,0.12,0.05454545454545454
APP,Application Software,TTD|ADBE|FICO|EPAM|DDOG,CDNS|CRM|TYL|FICO|PTC,LUV|LNT|MSCI|WEC|TPR,0.0,0.0,0.0,0.3,0.05,0.0
