run,experiment_name,model_name,input_dim,embedding_dim,final_reconstruction_mse,clustering_ari,clustering_nmi,peer_embedding_corr,peer_benchmark_corr,peer_corr_diff,peer_n,cov_embedding_annual_variance,cov_ledoit_wolf_annual_variance,cov_sample_annual_variance,cov_embedding_minus_lw_daily_var,cov_embedding_minus_lw_ci_low,cov_embedding_minus_lw_ci_high,path
20260423_230246_ae_price_only,ae_price_only,autoencoder,10,8,0.07510027076081291,0.05207516941162502,0.17108426550604466,0.552894854594328,0.6531810416281558,-0.10028618703382787,2001,,,,,,,experiments/20260423_230246_ae_price_only
20260423_232623_risk_embedding,risk_embedding,autoencoder,10,8,0.07510027076081291,0.05207516941162502,0.17108426550604466,0.552894854594328,0.6531810416281558,-0.10028618703382787,2001,0.009942946652854954,0.009690002579367255,0.009780664911909074,9.380822489528539e-07,-1.2275664628695926e-06,3.6562077846940377e-06,experiments/20260423_232623_risk_embedding
20260423_212847_ae_text_baseline,ae_text_baseline,autoencoder,74,8,0.374547155046028,0.20618852867511994,0.34148506956574065,0.545267740856636,0.6531810416281558,-0.1079133007715198,2001,,,,,,,experiments/20260423_212847_ae_text_baseline
20260423_210824_text_baseline,text_baseline,pca,74,8,,0.1406069983666804,0.3046248717062582,0.5256968314268842,0.6531810416281558,-0.12748421020127165,2001,,,,,,,experiments/20260423_210824_text_baseline
20260423_221234_ae_minilm,ae_minilm,autoencoder,778,8,0.5534282905969155,0.24237705339023333,0.36792050871656384,0.513045711979428,0.6531810416281558,-0.14013532964872794,2001,,,,,,,experiments/20260423_221234_ae_minilm
20260423_230552_ae_price_minilm,ae_price_minilm,autoencoder,778,8,0.5534282905969155,0.24237705339023333,0.36792050871656384,0.513045711979428,0.6531810416281558,-0.14013532964872794,2001,,,,,,,experiments/20260423_230552_ae_price_minilm
20260423_223304_ae_minilm,ae_minilm,autoencoder,802,8,0.5472101229464469,0.22686693066390937,0.3519389203778866,0.49991762641591614,0.6531810416281558,-0.15326341521223974,2001,,,,,,,experiments/20260423_223304_ae_minilm
20260423_230519_ae_events_only,ae_events_only,autoencoder,24,8,0.06804070352687051,0.021833379691825673,0.09059265352042843,0.3907746679060758,0.6531810416281558,-0.2624063737220801,2001,,,,,,,experiments/20260423_230519_ae_events_only
20260423_230401_ae_minilm_text_only,ae_minilm_text_only,autoencoder,768,8,0.5519047766388792,0.21884167810300867,0.3810285202577553,0.3815003082256096,0.6531810416281558,-0.2716807334025463,2001,,,,,,,experiments/20260423_230401_ae_minilm_text_only
20260423_232517_semantic_embedding,semantic_embedding,autoencoder,768,8,0.5519047766388792,0.21884167810300867,0.3810285202577553,0.3815003082256096,0.6531810416281558,-0.2716807334025463,2001,,,,,,,experiments/20260423_232517_semantic_embedding
