section,year,rows,tickers,ai_mentions,ai_score,cloud_compute_score,cybersecurity_score,supply_chain_score,electrification_score
business,2010,257,257,8,0.1536686861931899,6.146199754333954,0.34581616035311763,9.879152789917613,9.384788283640919
business,2011,365,365,6,0.08127320957051488,9.225119757785727,0.42387194170229364,10.902884401259678,8.190929901288216
business,2012,400,400,6,0.06821698890310454,9.391032648538523,0.9040499767009529,10.48291192593938,9.10701584846779
business,2013,417,417,7,0.0733017131430159,10.27998640840643,0.9557628558398635,10.860960342969674,9.178329479027301
business,2014,421,421,8,0.07928865848520994,10.346965508796803,1.0557496011303826,10.885889948000635,9.382502604585367
business,2015,429,429,23,0.3243316267206068,11.758810997335654,1.0561157208239123,10.956815158485004,9.37059493564115
business,2016,435,433,35,0.47784557453486787,12.339891518654335,1.4022623504845007,11.328523477434413,9.257012706199397
business,2017,435,435,98,1.1547186438371582,13.07710303364147,1.649770883014814,11.964116007211143,9.961795169026379
business,2018,448,446,151,1.5721555259653741,13.123356384976416,2.273451634582884,11.751020080021389,10.305584581795854
business,2019,453,452,229,2.2716885332300736,14.196644900145339,2.819285935731923,12.176478203917569,10.137886365326596
business,2020,458,458,264,2.457626801179492,14.750665115463683,3.0843937450067025,12.68365839768387,10.546225745700776
business,2021,465,465,324,2.448883742601932,13.090323992888914,3.415126567880396,12.737693858718673,9.871221525004291
business,2022,471,471,355,2.6370695302387563,12.591876698684048,4.308536537525413,14.294739590160814,11.793816138517744
business,2023,471,471,451,3.388607464606484,13.271618831550043,5.199287029558903,15.227256518606753,12.66797895308462
business,2024,474,474,676,5.692830377699873,13.558262402320969,8.53587591863951,14.544679701243094,12.885597559875201
business,2025,480,479,855,6.908880123372194,14.708661982940354,7.218296985858525,14.65746990482898,12.390681507833659
business,2026,392,392,686,7.111905846057652,12.274572293221905,7.582762391508302,13.314906055888878,13.65866409470935
item_1c_cybersecurity,2012,3,3,0,0.0,2.1891500203629297,21.671681619909876,8.003014675472166,0.07630384189843958
item_1c_cybersecurity,2013,4,4,0,0.0,6.379509141642025,18.479164938553637,4.4459328514840895,10.59778714828574
item_1c_cybersecurity,2014,6,6,0,0.0,6.717943847745364,40.146792531998535,5.848037853095987,7.833899055223163
item_1c_cybersecurity,2015,7,7,1,0.09634499214788314,4.68330473542386,54.365114621795826,1.130491081991336,8.374297172892616
item_1c_cybersecurity,2016,8,8,0,0.0,0.303282321453183,265.2810383743099,1.7675868886425028,4.169806610126647
item_1c_cybersecurity,2017,8,8,0,0.0,10.540887715122606,98.73934896388724,1.5586130604973012,8.591471532374905
item_1c_cybersecurity,2018,13,13,1,0.05404431633939831,2.6106538849848517,45.613077837086635,2.481526443143683,6.661104746729586
item_1c_cybersecurity,2019,13,13,1,0.0514260442058276,3.330061885934417,101.1776344552235,0.9864924443229008,8.944589638224441
item_1c_cybersecurity,2020,12,12,1,0.05913940340169849,3.3408563100053823,65.21983092882938,1.5608266176422312,11.312207211722665
item_1c_cybersecurity,2021,12,12,1,0.061300051492043255,3.3746916084705982,76.43888175385423,1.9576665986160788,12.079204730153677
item_1c_cybersecurity,2022,17,17,4,5.688903854548567,4.5492062638071085,105.01245159244259,6.336885930410388,15.909672239525552
item_1c_cybersecurity,2023,35,35,7,2.0163343218494916,3.117288738741291,1979.1140503647632,4.443713617107089,8.40432397263315
item_1c_cybersecurity,2024,477,477,54,1.0994513491554059,2.6978428122683873,1096.1047277260361,10.785980772475604,1.289577636675021
item_1c_cybersecurity,2025,483,482,93,2.682472043317904,2.736426450104218,1083.7794287340082,10.894048213865137,1.1653142059697272
item_1c_cybersecurity,2026,396,396,134,6.278103210020397,2.724998108195856,1091.9687076918724,10.037811830062115,1.2916755652531149
mda,2010,258,258,0,0.0,1.606143977122646,0.09812668432843819,2.456547584156197,3.8333970850496937
mda,2011,371,371,1,0.006247491632109708,2.9136770230708184,0.1134069899425399,2.967290533978567,3.49766447732543
mda,2012,411,411,1,0.0056368502092737005,2.796309311013102,0.27948882015858756,3.0531697247109735,3.4543638487006603
mda,2013,424,424,1,0.00495856228668265,3.5773030104841945,0.32822413826809443,2.9586860409174407,3.2966111197359704
mda,2014,430,430,3,0.01657438620829416,3.3969795936334553,0.3955107539845938,3.221846488078109,3.4581995035307638
mda,2015,442,441,2,0.009578089597360971,3.4156349278981213,0.6806215962881687,3.0773748281480344,3.3502812528761967
mda,2016,444,442,3,0.022653407303766693,3.6995703348665443,0.5609892756639894,2.945281345931128,3.4145438127413525
mda,2017,444,444,20,0.114542950836654,4.063727779938318,0.6900928482978629,2.996996482988815,3.6293595723885845
mda,2018,457,454,50,0.2558259375880021,4.3628293719319835,0.7429237147029678,2.8840744158284717,3.4059533897086727
mda,2019,464,463,43,0.2179689434025484,4.636185566771642,0.8733143371215417,3.1319620287918157,3.6436451860071504
mda,2020,469,469,48,0.29461319775371003,4.758031761448412,1.0363688573386587,4.111868676241401,3.914248775797919
mda,2021,476,476,73,0.3414692617847823,4.6178477342542426,1.2206115291061042,5.761344467748708,3.8372760233044536
mda,2022,482,482,86,0.41426152912336606,5.238352643574347,1.4236873933591319,8.894270253588646,4.438622568735566
mda,2023,486,486,80,0.3970379429559246,5.358021108192224,1.6333467620068298,8.781257586074563,5.064303230843606
mda,2024,489,489,166,1.0114665625039096,5.94236048245539,2.4741463698905894,6.822162845251553,4.994603847453644
