year,section,rows,tickers,median_chars
2010,business,257,257,42026.0
2010,mda,258,258,74204.5
2010,risk_factors,250,250,33272.0
2011,business,365,365,38580.0
2011,mda,371,371,77312.0
2011,risk_factors,361,361,35993.0
2012,business,400,400,41911.5
2012,item_1c_cybersecurity,3,3,98440.0
2012,mda,411,411,82424.0
2012,risk_factors,401,401,41740.0
2013,business,417,417,42141.0
2013,item_1c_cybersecurity,4,4,179692.5
2013,mda,424,424,85494.5
2013,risk_factors,416,416,43848.5
2014,business,421,421,42059.0
2014,item_1c_cybersecurity,6,6,51689.0
2014,mda,430,430,84970.5
2014,risk_factors,422,422,45063.5
2015,business,429,429,41766.0
2015,item_1c_cybersecurity,7,7,112885.0
2015,mda,442,441,83980.5
2015,risk_factors,436,435,48324.0
2016,business,435,433,42390.0
2016,item_1c_cybersecurity,8,8,54290.5
2016,mda,444,442,83976.0
2016,risk_factors,437,435,50527.0
2017,business,435,435,41911.0
2017,item_1c_cybersecurity,8,8,51608.0
2017,mda,444,444,84713.0
2017,risk_factors,439,439,52523.0
2018,business,448,446,41694.5
2018,item_1c_cybersecurity,13,13,51939.0
2018,mda,457,454,84321.0
2018,risk_factors,453,450,55036.0
2019,business,453,452,40444.0
2019,item_1c_cybersecurity,13,13,61238.0
2019,mda,464,463,82122.5
2019,risk_factors,460,459,56991.5
2020,business,458,458,40917.0
2020,item_1c_cybersecurity,12,12,66174.5
2020,mda,469,469,77305.0
2020,risk_factors,466,466,63529.5
2021,business,465,465,47243.0
2021,item_1c_cybersecurity,12,12,80729.5
2021,mda,476,476,79339.0
2021,risk_factors,474,474,67217.0
2022,business,471,471,50283.0
2022,item_1c_cybersecurity,17,17,72698.0
2022,mda,482,482,74315.5
2022,risk_factors,480,480,69131.5
2023,business,471,471,49366.0
2023,item_1c_cybersecurity,35,35,24968.0
2023,mda,486,486,70984.0
2023,risk_factors,482,482,70167.0
2024,business,474,474,49174.5
2024,item_1c_cybersecurity,477,477,6539.0
2024,mda,489,489,69222.0
2024,risk_factors,485,485,71771.0
2025,business,480,479,47477.0
2025,item_1c_cybersecurity,483,482,6684.0
2025,mda,495,494,66612.0
2025,risk_factors,489,488,73182.0
2026,business,392,392,46498.0
2026,item_1c_cybersecurity,396,396,7008.0
2026,mda,406,406,69200.5
2026,risk_factors,403,403,75007.0
