view,theme,label,description
behavioral,theme_0,OMC / TYL / AES / MCK,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (2), Communication Services (1), Utilities (1)"
behavioral,theme_1,GD / DOC / AWK / JNJ,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (2), Consumer Staples (2), Real Estate (1)"
behavioral,theme_10,ROST / BALL / EG / DLR,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Materials (2), Consumer Discretionary (1), Financials (1)"
behavioral,theme_11,NVDA / TSLA / MSFT / AMZN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (5), Consumer Discretionary (2), Communication Services (1)"
behavioral,theme_12,OKE / MSI / BKR / DE,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Energy (3), Utilities (2), Information Technology (1)"
behavioral,theme_13,LII / SYY / CARR / GE,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (5), Consumer Staples (1), Materials (1)"
behavioral,theme_14,FSLR / ALGN / FISV / MRNA,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (2), Consumer Discretionary (2), Information Technology (1)"
behavioral,theme_15,HUBB / CVNA / WBD / HUM,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (4), Industrials (1), Consumer Discretionary (1)"
behavioral,theme_16,WBD / TTD / FSLR / FISV,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (2), Financials (2), Health Care (2)"
behavioral,theme_17,NKE / NOW / AKAM / FICO,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (3), Consumer Discretionary (2), Industrials (2)"
behavioral,theme_18,VZ / VST / DECK / GNRC,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (3), Utilities (2), Communication Services (1)"
behavioral,theme_19,LULU / REGN / IDXX / DXCM,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (4), Consumer Discretionary (1), Consumer Staples (1)"
behavioral,theme_2,STE / HSIC / AIZ / VLTO,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (3), Industrials (3), Financials (1)"
behavioral,theme_20,BK / BRK-B / SO / LIN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Utilities (4), Financials (2), Materials (1)"
behavioral,theme_21,POOL / WAT / GPC / CBRE,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (2), Health Care (2), Communication Services (2)"
behavioral,theme_22,MCD / FE / KO / PEG,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Utilities (4), Consumer Discretionary (1), Consumer Staples (1)"
behavioral,theme_23,SNPS / FISV / BLDR / ALGN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (2), Health Care (2), Consumer Discretionary (2)"
behavioral,theme_24,EA / BDX / KDP / PFE,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (4), Consumer Staples (2), Communication Services (1)"
behavioral,theme_25,WDC / SNDK / LITE / CIEN,Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (8)
behavioral,theme_26,KIM / CB / TRV / AEP,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (3), Utilities (2), Real Estate (1)"
behavioral,theme_27,AAPL / META / AMZN / MSFT,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (4), Communication Services (3), Consumer Discretionary (1)"
behavioral,theme_28,NOC / LMT / CLX / RTX,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (3), Consumer Discretionary (2), Consumer Staples (1)"
behavioral,theme_29,PHM / CMG / CI / LEN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (4), Health Care (3), Information Technology (1)"
behavioral,theme_3,L / REG / O / WRB,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Real Estate (4), Financials (2), Utilities (2)"
behavioral,theme_30,UHS / CTSH / LDOS / HII,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (3), Information Technology (2), Health Care (1)"
behavioral,theme_31,ETR / HLT / AME / WAB,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (3), Consumer Discretionary (2), Utilities (1)"
behavioral,theme_32,NVR / AVY / HD / WFC,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (3), Financials (2), Materials (1)"
behavioral,theme_33,FAST / CME / ADM / KMB,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (3), Consumer Staples (3), Financials (2)"
behavioral,theme_34,AXON / TTD / NCLH / COIN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (2), Information Technology (2), Industrials (1)"
behavioral,theme_35,INVH / MTB / PNC / AVB,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (4), Real Estate (3), Consumer Discretionary (1)"
behavioral,theme_36,MPWR / ON / ANET / GEV,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (4), Industrials (1), Health Care (1)"
behavioral,theme_37,CHTR / PWR / FANG / GRMN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Energy (3), Communication Services (1), Industrials (1)"
behavioral,theme_38,APP / HUM / SMCI / ARES,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (4), Financials (3), Health Care (1)"
behavioral,theme_39,AKAM / NOW / AXON / FICO,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (4), Consumer Discretionary (2), Industrials (1)"
behavioral,theme_4,APTV / PSX / EQT / NRG,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Energy (3), Consumer Discretionary (2), Utilities (1)"
behavioral,theme_5,MAS / ADI / BA / NTRS,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (3), Information Technology (2), Financials (2)"
behavioral,theme_6,BG / TRGP / KVUE / HAL,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Staples (2), Energy (2), Utilities (2)"
behavioral,theme_7,COO / DG / DXCM / BBY,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (4), Consumer Staples (2), Consumer Discretionary (1)"
behavioral,theme_8,GOOG / NFLX / XOM / JPM,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (3), Financials (2), Energy (1)"
behavioral,theme_9,DVA / KEYS / LYB / CF,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Materials (3), Energy (2), Health Care (1)"
business,theme_0,FDX / A / NI / NXPI,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (2), Communication Services (2), Industrials (1)"
business,theme_1,KKR / MRSH / XYL / FSLR,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (3), Industrials (1), Information Technology (1)"
business,theme_10,SO / ETR / D / ATO,Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Utilities (8)
business,theme_11,JKHY / MA / V / FIS,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (6), Industrials (1), Information Technology (1)"
business,theme_12,AZO / TPR / RL / CAH,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (4), Consumer Staples (2), Health Care (1)"
business,theme_13,GD / RTX / HII / LMT,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (6), Materials (2)"
business,theme_14,MCK / HSIC / A / NKE,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (3), Consumer Discretionary (2), Communication Services (2)"
business,theme_15,JCI / KR / PAYX / JBL,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (5), Consumer Staples (1), Information Technology (1)"
business,theme_16,CAH / MRK / ABT / WAT,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (6), Consumer Staples (2)"
business,theme_17,GEN / ADBE / NFLX / NWSA,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (3), Communication Services (3), Consumer Discretionary (1)"
business,theme_18,PM / CAT / RSG / MCD,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Staples (2), Industrials (2), Consumer Discretionary (2)"
business,theme_19,TRV / AIG / WRB / ERIE,Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (8)
business,theme_2,EA / NFLX / TTWO / CMCSA,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (7), Information Technology (1)"
business,theme_20,CASY / A / NI / NXPI,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (2), Communication Services (2), Consumer Staples (1)"
business,theme_21,AMCR / WBD / CTRA / EVRG,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Energy (2), Utilities (2), Materials (1)"
business,theme_22,DE / AMD / PSA / REGN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (2), Health Care (2), Industrials (1)"
business,theme_23,KEY / TFC / WFC / GS,Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (8)
business,theme_24,DECK / CPRT / RMD / DASH,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (2), Health Care (2), Communication Services (2)"
business,theme_25,PANW / ALLE / MSI / BRO,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (3), Industrials (3), Financials (1)"
business,theme_26,CTAS / A / NI / NXPI,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (2), Communication Services (2), Industrials (1)"
business,theme_27,FOX / FOXA / A / NFLX,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (4), Health Care (1), Consumer Discretionary (1)"
business,theme_28,MPC / CVX / VLO / TPL,Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Energy (8)
business,theme_29,VRTX / ISRG / MRNA / CNC,Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (8)
business,theme_3,AVB / LEN / EQR / INVH,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Real Estate (5), Consumer Discretionary (3)"
business,theme_30,NWSA / NWS / A / NI,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (2), Information Technology (2), Health Care (1)"
business,theme_31,BF-B / A / NFLX / NWSA,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (3), Consumer Staples (1), Health Care (1)"
business,theme_32,DRI / SYY / A / NI,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (2), Communication Services (2), Consumer Staples (1)"
business,theme_33,MCHP / NXPI / TER / TDG,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (6), Industrials (2)"
business,theme_34,NKE / EL / SBUX / LULU,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (3), Consumer Staples (3), Materials (1)"
business,theme_35,FFIV / ORCL / O / NXPI,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (4), Communication Services (2), Real Estate (1)"
business,theme_36,GIS / A / NI / NWSA,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (2), Consumer Staples (1), Health Care (1)"
business,theme_37,INTU / GOOG / GOOGL / CRM,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (6), Communication Services (2)"
business,theme_38,NTAP / STX / WDC / MU,Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (8)
business,theme_4,HRL / FCX / PPG / GWW,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Materials (4), Consumer Staples (2), Industrials (1)"
business,theme_5,SJM / CAG / CPB / TSN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Staples (6), Financials (2)"
business,theme_6,STE / CLX / ALGN / AOS,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (4), Industrials (3), Consumer Staples (1)"
business,theme_7,SATS / CSX / AAPL / HD,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (3), Information Technology (2), Communication Services (1)"
business,theme_8,COHR / LRCX / SPGI / RJF,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (4), Information Technology (2), Consumer Discretionary (2)"
business,theme_9,LITE / SMCI / PLTR / CRWD,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (6), Financials (1), Communication Services (1)"
growth,theme_0,WAT / ULTA / ALLE / ODFL,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (3), Consumer Discretionary (2), Health Care (1)"
growth,theme_1,TKO / KVUE / SOLV / VLTO,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (2), Consumer Staples (2), Health Care (1)"
growth,theme_10,IFF / KMI / LIN / PSX,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Materials (3), Energy (3), Utilities (1)"
growth,theme_11,CCL / T / AES / PPL,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (2), Utilities (2), Financials (2)"
growth,theme_12,WYNN / MCD / HCA / MAS,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (3), Health Care (2), Industrials (1)"
growth,theme_13,SNDK / BG / KVUE / GEV,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Staples (2), Information Technology (1), Industrials (1)"
growth,theme_14,GEHC / SOLV / PSKY / CRH,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (2), Materials (2), Industrials (2)"
