,CBRE,ETN,SBUX,CMG,META,GOOGL,NFLX,HUM,NKE,VRT
CBRE,1.0,-0.14222550024953276,-0.25556848455153697,-0.1948338160760857,0.07762217633195925,-0.03500486815681965,-0.1081248085780699,-0.04828124302538501,-0.23190358280429146,0.05097288179191241
ETN,-0.14222550024953276,1.0,0.2152659878065496,0.14947442251609477,-0.17920767694733514,-0.11679035019871951,0.03336835139616523,0.05290597180374274,0.19808351240212488,-0.18088137280365127
SBUX,-0.25556848455153697,0.2152659878065496,1.0,0.7769658382954386,-0.12368579308749109,0.037227039013017764,0.14428130548306076,0.08673506758936929,0.5745706021783391,-0.16460120772142212
CMG,-0.1948338160760857,0.14947442251609477,0.7769658382954386,1.0,-0.054712543650435395,0.0280404150488672,0.11209068718245703,0.07542576603287897,0.3911550763448038,-0.11355848073545596
META,0.07762217633195925,-0.17920767694733514,-0.12368579308749109,-0.054712543650435395,1.0,0.2950418621487325,0.11787781417317073,-0.21905046492704724,-0.1550225784363274,0.3177488228877127
GOOGL,-0.03500486815681965,-0.11679035019871951,0.037227039013017764,0.0280404150488672,0.2950418621487325,1.0,0.12527916646507803,-0.12961915455826198,0.009212698243220565,0.21506886530060526
NFLX,-0.1081248085780699,0.03336835139616523,0.14428130548306076,0.11209068718245703,0.11787781417317073,0.12527916646507803,1.0,-0.02207027977595107,0.11610880941389211,0.025473376596099696
HUM,-0.04828124302538501,0.05290597180374274,0.08673506758936929,0.07542576603287897,-0.21905046492704724,-0.12961915455826198,-0.02207027977595107,1.0,0.08175090865258222,-0.14445777311661231
NKE,-0.23190358280429146,0.19808351240212488,0.5745706021783391,0.3911550763448038,-0.1550225784363274,0.009212698243220565,0.11610880941389211,0.08175090865258222,1.0,-0.20128457057502605
VRT,0.05097288179191241,-0.18088137280365127,-0.16460120772142212,-0.11355848073545596,0.3177488228877127,0.21506886530060526,0.025473376596099696,-0.14445777311661231,-0.20128457057502605,1.0
