theme_a,theme_b,residual_corr
SBUX,CMG,0.7769658382954386
SBUX,NKE,0.5745706021783391
CMG,NKE,0.3911550763448038
META,VRT,0.3177488228877127
META,GOOGL,0.2950418621487325
ETN,SBUX,0.2152659878065496
GOOGL,VRT,0.21506886530060526
ETN,NKE,0.19808351240212488
ETN,CMG,0.14947442251609477
SBUX,NFLX,0.14428130548306076
GOOGL,NFLX,0.12527916646507803
META,NFLX,0.11787781417317073
NFLX,NKE,0.11610880941389211
CMG,NFLX,0.11209068718245703
SBUX,HUM,0.08673506758936929
HUM,NKE,0.08175090865258222
CBRE,META,0.07762217633195925
CMG,HUM,0.07542576603287897
ETN,HUM,0.05290597180374274
CBRE,VRT,0.05097288179191241
SBUX,GOOGL,0.037227039013017764
ETN,NFLX,0.03336835139616523
CMG,GOOGL,0.0280404150488672
NFLX,VRT,0.025473376596099696
GOOGL,NKE,0.009212698243220565
NFLX,HUM,-0.02207027977595107
CBRE,GOOGL,-0.03500486815681965
CBRE,HUM,-0.04828124302538501
CMG,META,-0.054712543650435395
CBRE,NFLX,-0.1081248085780699
CMG,VRT,-0.11355848073545596
ETN,GOOGL,-0.11679035019871951
SBUX,META,-0.12368579308749109
GOOGL,HUM,-0.12961915455826198
CBRE,ETN,-0.14222550024953276
HUM,VRT,-0.14445777311661231
META,NKE,-0.1550225784363274
SBUX,VRT,-0.16460120772142212
ETN,META,-0.17920767694733514
ETN,VRT,-0.18088137280365127
CBRE,CMG,-0.1948338160760857
NKE,VRT,-0.20128457057502605
META,HUM,-0.21905046492704724
CBRE,NKE,-0.23190358280429146
CBRE,SBUX,-0.25556848455153697
