ticker,seed_sector,cluster_tickers,n_days,market_sector_r2,annual_residual_vol
CBRE,Real Estate,CBRE|ARES|BX|IVZ|IBKR|KKR,4099,0.773013452467159,0.13062792315273397
ETN,Industrials,ETN|NEE|AES|SRE|NI|CMS,4099,0.6072249194150863,0.11813248710673444
SBUX,Consumer Discretionary,SBUX|KDP|HSY|YUM|PEP|KHC,4099,0.5444882236198525,0.10768187312715256
CMG,Consumer Discretionary,CMG|KDP|YUM|SBUX|HSY|TAP,4099,0.6129357994947344,0.10568447782821977
META,Communication Services,META|WDAY|CRM|INTU|XYZ|APP,4099,0.5355532819390071,0.2136129344913933
GOOGL,Communication Services,GOOGL|GOOG|AKAM|CSCO|CHTR|ADBE,4099,0.6725368593758598,0.12171286053653484
NFLX,Communication Services,NFLX|EA|TTWO|CMCSA|FISV|VZ,4099,0.6847272395274487,0.11101471016643541
HUM,Health Care,HUM|MCK|CAH|HSIC|COR|KVUE,4099,0.5805119747879365,0.1284811380763238
NKE,Consumer Discretionary,NKE|SJM|MDLZ|KO|CAG|CPB,4099,0.41176352967515284,0.12077960941642701
VRT,Industrials,VRT|HPQ|CTSH|FTNT|MPWR|MSI,4099,0.6771795121526167,0.14257465045936052
