view,ticker,first_date,last_date,first_theme,first_label,last_theme,last_label,loading_l2_shift
behavioral,A,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_29,PHM / CMG / CI / LEN,1.165065662280465
behavioral,AAPL,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_27,AAPL / META / AMZN / MSFT,1.4134790100497896
behavioral,ABBV,2013-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_32,NVR / AVY / HD / WFC,1.3313310265080442
behavioral,ABNB,2021-12-31,2026-04-22,theme_34,AXON / TTD / NCLH / COIN,theme_21,POOL / WAT / GPC / CBRE,0.8525048000298715
behavioral,ABT,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_30,UHS / CTSH / LDOS / HII,1.3995560279597126
behavioral,ACGL,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_3,L / REG / O / WRB,1.1823995665663525
behavioral,ACN,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_30,UHS / CTSH / LDOS / HII,1.406718221339893
behavioral,ADBE,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_13,LII / SYY / CARR / GE,1.1565706360155996
behavioral,ADI,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_5,MAS / ADI / BA / NTRS,1.4076002109866332
behavioral,ADM,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_33,FAST / CME / ADM / KMB,1.2185165043929835
behavioral,ADP,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_32,NVR / AVY / HD / WFC,1.2156883741556506
behavioral,ADSK,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_13,LII / SYY / CARR / GE,1.3008118475196015
behavioral,AEE,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_3,L / REG / O / WRB,1.2244796680067824
behavioral,AEP,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_26,KIM / CB / TRV / AEP,1.3769475342966255
behavioral,AES,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_0,OMC / TYL / AES / MCK,1.3130621840410768
behavioral,AFL,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_3,L / REG / O / WRB,1.2286395310574285
behavioral,AIG,2010-12-31,2026-04-22,theme_36,MPWR / ON / ANET / GEV,theme_26,KIM / CB / TRV / AEP,1.0345823288475384
behavioral,AIZ,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_2,STE / HSIC / AIZ / VLTO,1.4038830269678675
behavioral,AJG,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_2,STE / HSIC / AIZ / VLTO,1.179400630856319
behavioral,AKAM,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_34,AXON / TTD / NCLH / COIN,1.2720247999300183
behavioral,ALB,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_34,AXON / TTD / NCLH / COIN,1.2223718074811765
behavioral,ALGN,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_37,CHTR / PWR / FANG / GRMN,1.1925741232680778
behavioral,ALL,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_26,KIM / CB / TRV / AEP,1.3171084018549015
behavioral,ALLE,2014-11-28,2026-04-22,theme_3,L / REG / O / WRB,theme_2,STE / HSIC / AIZ / VLTO,0.9686332801164342
behavioral,AMAT,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_34,AXON / TTD / NCLH / COIN,1.3293347559919952
behavioral,AMCR,2013-05-31,2026-04-22,theme_12,OKE / MSI / BKR / DE,theme_13,LII / SYY / CARR / GE,1.1804327967758317
behavioral,AMD,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_25,WDC / SNDK / LITE / CIEN,1.412925926581083
behavioral,AME,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_31,ETR / HLT / AME / WAB,1.3855005661296032
behavioral,AMGN,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_12,OKE / MSI / BKR / DE,1.1455950979847258
behavioral,AMP,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_2,STE / HSIC / AIZ / VLTO,1.1751138726593477
behavioral,AMT,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_32,NVR / AVY / HD / WFC,1.205524247981213
behavioral,AMZN,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_27,AAPL / META / AMZN / MSFT,1.413362822706533
behavioral,ANET,2015-06-30,2026-04-22,theme_23,SNPS / FISV / BLDR / ALGN,theme_36,MPWR / ON / ANET / GEV,1.4117852392518302
behavioral,AON,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_32,NVR / AVY / HD / WFC,1.2950590978994763
behavioral,AOS,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_32,NVR / AVY / HD / WFC,1.3949273581613648
behavioral,APA,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_34,AXON / TTD / NCLH / COIN,1.2278730968923437
behavioral,APD,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_10,ROST / BALL / EG / DLR,1.1865725109617284
behavioral,APH,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_34,AXON / TTD / NCLH / COIN,1.1266985640728067
behavioral,APO,2012-03-30,2026-04-22,theme_18,VZ / VST / DECK / GNRC,theme_21,POOL / WAT / GPC / CBRE,1.2145271101159032
behavioral,APP,2022-04-29,2026-04-22,theme_34,AXON / TTD / NCLH / COIN,theme_38,APP / HUM / SMCI / ARES,1.3907067606553096
behavioral,APTV,2012-11-30,2026-04-22,theme_10,ROST / BALL / EG / DLR,theme_4,APTV / PSX / EQT / NRG,1.2313560282171725
behavioral,ARE,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_7,COO / DG / DXCM / BBY,1.126834278617315
behavioral,ARES,2015-05-29,2026-04-22,theme_25,WDC / SNDK / LITE / CIEN,theme_38,APP / HUM / SMCI / ARES,1.2301741171997211
behavioral,ATO,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_26,KIM / CB / TRV / AEP,1.220461313351224
behavioral,AVB,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_35,INVH / MTB / PNC / AVB,1.4010115783089832
behavioral,AVGO,2010-12-31,2026-04-22,theme_36,MPWR / ON / ANET / GEV,theme_36,MPWR / ON / ANET / GEV,0.3974843767407131
behavioral,AVY,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_32,NVR / AVY / HD / WFC,1.4120315732069262
behavioral,AWK,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_1,GD / DOC / AWK / JNJ,1.3369438261392044
behavioral,AXON,2010-12-31,2026-04-22,theme_25,WDC / SNDK / LITE / CIEN,theme_34,AXON / TTD / NCLH / COIN,1.4047394104861544
behavioral,AXP,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_21,POOL / WAT / GPC / CBRE,1.386949348746258
behavioral,AZO,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_35,INVH / MTB / PNC / AVB,1.3091884957464799
behavioral,BA,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_5,MAS / ADI / BA / NTRS,1.4032912812953444
behavioral,BAC,2010-12-31,2026-04-22,theme_36,MPWR / ON / ANET / GEV,theme_35,INVH / MTB / PNC / AVB,0.9012843691960146
behavioral,BALL,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_10,ROST / BALL / EG / DLR,1.3698479644873218
behavioral,BAX,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_21,POOL / WAT / GPC / CBRE,1.398303602959555
behavioral,BBY,2010-12-31,2026-04-22,theme_25,WDC / SNDK / LITE / CIEN,theme_7,COO / DG / DXCM / BBY,1.137802727032712
behavioral,BDX,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_24,EA / BDX / KDP / PFE,1.1730426289041946
behavioral,BEN,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_31,ETR / HLT / AME / WAB,1.1904822904243255
behavioral,BF-B,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_5,MAS / ADI / BA / NTRS,1.3581639038183455
behavioral,BG,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_6,BG / TRGP / KVUE / HAL,1.1782493676970969
behavioral,BIIB,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_37,CHTR / PWR / FANG / GRMN,1.1308886359859311
behavioral,BK,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_21,POOL / WAT / GPC / CBRE,1.3202934047337123
behavioral,BKNG,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_30,UHS / CTSH / LDOS / HII,1.2490746413576457
behavioral,BKR,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_12,OKE / MSI / BKR / DE,1.3701792913525037
behavioral,BLDR,2010-12-31,2026-04-22,theme_15,HUBB / CVNA / WBD / HUM,theme_23,SNPS / FISV / BLDR / ALGN,1.125755905856989
behavioral,BLK,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_35,INVH / MTB / PNC / AVB,1.2049646762482782
behavioral,BMY,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_10,ROST / BALL / EG / DLR,1.185831177652177
behavioral,BR,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_30,UHS / CTSH / LDOS / HII,1.401549074921781
behavioral,BRK-B,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_2,STE / HSIC / AIZ / VLTO,1.173677927245509
behavioral,BRO,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_32,NVR / AVY / HD / WFC,1.344105154273045
behavioral,BSX,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_30,UHS / CTSH / LDOS / HII,1.1305701498902467
behavioral,BX,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_21,POOL / WAT / GPC / CBRE,1.395261246115384
behavioral,BXP,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_21,POOL / WAT / GPC / CBRE,1.410004008246514
behavioral,C,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_5,MAS / ADI / BA / NTRS,1.2418978164392276
behavioral,CAG,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_30,UHS / CTSH / LDOS / HII,1.4094747456392485
behavioral,CAH,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_30,UHS / CTSH / LDOS / HII,1.3950710789905354
behavioral,CARR,2021-03-31,2026-04-22,theme_23,SNPS / FISV / BLDR / ALGN,theme_13,LII / SYY / CARR / GE,1.369188632743326
behavioral,CASY,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_31,ETR / HLT / AME / WAB,1.3788708959783338
behavioral,CAT,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_36,MPWR / ON / ANET / GEV,1.2704165102915281
behavioral,CB,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_26,KIM / CB / TRV / AEP,1.3786491972349164
behavioral,CBOE,2011-06-30,2026-04-22,theme_7,COO / DG / DXCM / BBY,theme_31,ETR / HLT / AME / WAB,0.9798795477260973
behavioral,CBRE,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_21,POOL / WAT / GPC / CBRE,1.4136527821598157
behavioral,CCI,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_21,POOL / WAT / GPC / CBRE,1.367172606527911
behavioral,CCL,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_34,AXON / TTD / NCLH / COIN,1.2499415951597976
behavioral,CDNS,2010-12-31,2026-04-22,theme_20,BK / BRK-B / SO / LIN,theme_5,MAS / ADI / BA / NTRS,1.2140058468919166
