view,year,sector,dominant_theme,dominant_label,dominant_share,n_tickers
behavioral,2010,Communication Services,theme_20,BK / BRK-B / SO / LIN,0.875,16
behavioral,2010,Consumer Discretionary,theme_20,BK / BRK-B / SO / LIN,0.8,40
behavioral,2010,Consumer Staples,theme_20,BK / BRK-B / SO / LIN,1.0,34
behavioral,2010,Energy,theme_20,BK / BRK-B / SO / LIN,0.9375,16
behavioral,2010,Financials,theme_20,BK / BRK-B / SO / LIN,0.9230769230769231,65
behavioral,2010,Health Care,theme_20,BK / BRK-B / SO / LIN,0.9607843137254902,51
behavioral,2010,Industrials,theme_20,BK / BRK-B / SO / LIN,0.9393939393939394,66
behavioral,2010,Information Technology,theme_20,BK / BRK-B / SO / LIN,0.8727272727272727,55
behavioral,2010,Materials,theme_20,BK / BRK-B / SO / LIN,0.9545454545454546,22
behavioral,2010,Real Estate,theme_20,BK / BRK-B / SO / LIN,0.9655172413793104,29
behavioral,2010,Utilities,theme_20,BK / BRK-B / SO / LIN,1.0,29
behavioral,2011,Communication Services,theme_12,OKE / MSI / BKR / DE,0.4117647058823529,17
behavioral,2011,Consumer Discretionary,theme_18,VZ / VST / DECK / GNRC,0.35714285714285715,42
behavioral,2011,Consumer Staples,theme_26,KIM / CB / TRV / AEP,0.20588235294117646,34
behavioral,2011,Energy,theme_18,VZ / VST / DECK / GNRC,0.4117647058823529,17
behavioral,2011,Financials,theme_18,VZ / VST / DECK / GNRC,0.4117647058823529,68
behavioral,2011,Health Care,theme_12,OKE / MSI / BKR / DE,0.29411764705882354,51
behavioral,2011,Industrials,theme_18,VZ / VST / DECK / GNRC,0.4925373134328358,67
behavioral,2011,Information Technology,theme_18,VZ / VST / DECK / GNRC,0.35714285714285715,56
behavioral,2011,Materials,theme_18,VZ / VST / DECK / GNRC,0.391304347826087,23
behavioral,2011,Real Estate,theme_12,OKE / MSI / BKR / DE,0.5517241379310345,29
behavioral,2011,Utilities,theme_26,KIM / CB / TRV / AEP,0.41379310344827586,29
behavioral,2012,Communication Services,theme_22,MCD / FE / KO / PEG,0.23529411764705882,17
behavioral,2012,Consumer Discretionary,theme_7,COO / DG / DXCM / BBY,0.20930232558139536,43
behavioral,2012,Consumer Staples,theme_22,MCD / FE / KO / PEG,0.5294117647058824,34
behavioral,2012,Energy,theme_2,STE / HSIC / AIZ / VLTO,0.21052631578947367,19
behavioral,2012,Financials,theme_22,MCD / FE / KO / PEG,0.2028985507246377,69
behavioral,2012,Health Care,theme_22,MCD / FE / KO / PEG,0.15384615384615385,52
behavioral,2012,Industrials,theme_26,KIM / CB / TRV / AEP,0.18840579710144928,69
behavioral,2012,Information Technology,theme_29,PHM / CMG / CI / LEN,0.14285714285714285,56
behavioral,2012,Materials,theme_3,L / REG / O / WRB,0.13043478260869565,23
behavioral,2012,Real Estate,theme_3,L / REG / O / WRB,0.6551724137931034,29
behavioral,2012,Utilities,theme_3,L / REG / O / WRB,0.4827586206896552,29
behavioral,2013,Communication Services,theme_26,KIM / CB / TRV / AEP,0.16666666666666666,18
behavioral,2013,Consumer Discretionary,theme_2,STE / HSIC / AIZ / VLTO,0.16279069767441862,43
behavioral,2013,Consumer Staples,theme_26,KIM / CB / TRV / AEP,0.3235294117647059,34
behavioral,2013,Energy,theme_37,CHTR / PWR / FANG / GRMN,0.19047619047619047,21
behavioral,2013,Financials,theme_26,KIM / CB / TRV / AEP,0.2898550724637681,69
behavioral,2013,Health Care,theme_22,MCD / FE / KO / PEG,0.16981132075471697,53
behavioral,2013,Industrials,theme_3,L / REG / O / WRB,0.2463768115942029,69
behavioral,2013,Information Technology,theme_10,ROST / BALL / EG / DLR,0.11666666666666667,60
behavioral,2013,Materials,theme_3,L / REG / O / WRB,0.16666666666666666,24
behavioral,2013,Real Estate,theme_22,MCD / FE / KO / PEG,0.3793103448275862,29
behavioral,2013,Utilities,theme_22,MCD / FE / KO / PEG,0.5517241379310345,29
behavioral,2014,Communication Services,theme_12,OKE / MSI / BKR / DE,0.15,20
behavioral,2014,Consumer Discretionary,theme_12,OKE / MSI / BKR / DE,0.2222222222222222,45
behavioral,2014,Consumer Staples,theme_26,KIM / CB / TRV / AEP,0.2647058823529412,34
behavioral,2014,Energy,theme_32,NVR / AVY / HD / WFC,0.19047619047619047,21
behavioral,2014,Financials,theme_3,L / REG / O / WRB,0.37681159420289856,69
behavioral,2014,Health Care,theme_26,KIM / CB / TRV / AEP,0.2727272727272727,55
behavioral,2014,Industrials,theme_26,KIM / CB / TRV / AEP,0.34285714285714286,70
behavioral,2014,Information Technology,theme_12,OKE / MSI / BKR / DE,0.2459016393442623,61
behavioral,2014,Materials,theme_26,KIM / CB / TRV / AEP,0.20833333333333334,24
behavioral,2014,Real Estate,theme_26,KIM / CB / TRV / AEP,0.6206896551724138,29
behavioral,2014,Utilities,theme_10,ROST / BALL / EG / DLR,0.3793103448275862,29
behavioral,2015,Communication Services,theme_1,GD / DOC / AWK / JNJ,0.15,20
behavioral,2015,Consumer Discretionary,theme_12,OKE / MSI / BKR / DE,0.17777777777777778,45
behavioral,2015,Consumer Staples,theme_26,KIM / CB / TRV / AEP,0.35294117647058826,34
behavioral,2015,Energy,theme_4,APTV / PSX / EQT / NRG,0.3333333333333333,21
behavioral,2015,Financials,theme_33,FAST / CME / ADM / KMB,0.4583333333333333,72
behavioral,2015,Health Care,theme_12,OKE / MSI / BKR / DE,0.16363636363636364,55
behavioral,2015,Industrials,theme_33,FAST / CME / ADM / KMB,0.17142857142857143,70
behavioral,2015,Information Technology,theme_12,OKE / MSI / BKR / DE,0.15873015873015872,63
behavioral,2015,Materials,theme_12,OKE / MSI / BKR / DE,0.20833333333333334,24
behavioral,2015,Real Estate,theme_26,KIM / CB / TRV / AEP,0.5517241379310345,29
behavioral,2015,Utilities,theme_3,L / REG / O / WRB,0.3448275862068966,29
behavioral,2016,Communication Services,theme_22,MCD / FE / KO / PEG,0.2,20
behavioral,2016,Consumer Discretionary,theme_7,COO / DG / DXCM / BBY,0.13333333333333333,45
behavioral,2016,Consumer Staples,theme_22,MCD / FE / KO / PEG,0.22857142857142856,35
behavioral,2016,Energy,theme_18,VZ / VST / DECK / GNRC,0.19047619047619047,21
behavioral,2016,Financials,theme_6,BG / TRGP / KVUE / HAL,0.16216216216216217,74
behavioral,2016,Health Care,theme_2,STE / HSIC / AIZ / VLTO,0.38181818181818183,55
behavioral,2016,Industrials,theme_12,OKE / MSI / BKR / DE,0.17142857142857143,70
behavioral,2016,Information Technology,theme_7,COO / DG / DXCM / BBY,0.13636363636363635,66
behavioral,2016,Materials,theme_22,MCD / FE / KO / PEG,0.125,24
behavioral,2016,Real Estate,theme_35,INVH / MTB / PNC / AVB,0.4827586206896552,29
behavioral,2016,Utilities,theme_35,INVH / MTB / PNC / AVB,0.5517241379310345,29
behavioral,2017,Communication Services,theme_32,NVR / AVY / HD / WFC,0.14285714285714285,21
