view,year,tickers_compared,dominant_theme_change_rate,mean_abs_confidence_change,mean_entropy_change
behavioral,2011,423,0.9952718676122931,0.1928147666244377,0.1316318134764648
behavioral,2012,433,0.9515011547344111,0.22298563489100576,0.03220050296981371
behavioral,2013,440,0.8454545454545455,0.20998718986378084,-0.0002012493479330766
behavioral,2014,449,0.8596881959910914,0.20875795707874836,-0.0019403214204132852
behavioral,2015,457,0.8643326039387309,0.21222297416709848,0.013294756368088514
behavioral,2016,462,0.935064935064935,0.21787127556545455,-0.011361626773348994
behavioral,2017,468,0.9123931623931624,0.20715927796580477,-0.012734190045645842
behavioral,2018,473,0.9767441860465116,0.21451339278440126,-0.02030238900067109
behavioral,2019,476,0.9852941176470589,0.215281352291481,0.030768127301461994
behavioral,2020,479,0.9916492693110647,0.21090496278530296,-0.02969799687597715
behavioral,2021,486,0.9835390946502057,0.21727362786290863,0.03151011443991714
behavioral,2022,491,0.9755600814663951,0.2027803996123639,-0.04087089641396898
behavioral,2023,495,0.9515151515151515,0.20154373681583837,0.0404255837647369
behavioral,2024,497,0.9496981891348089,0.22349614760916417,-0.03030547335523482
behavioral,2025,499,0.8877755511022044,0.21187274656122024,0.04744454802631041
behavioral,2026,501,0.9001996007984032,0.2128483891352965,-0.01986643352076936
business,2011,423,0.0,0.0,0.0
business,2012,433,0.0,0.0,0.0
business,2013,440,0.0,0.0,0.0
business,2014,449,0.0,0.0,0.0
business,2015,457,0.0,0.0,0.0
business,2016,462,0.0,0.0,0.0
business,2017,468,0.0,0.0,0.0
business,2018,473,0.0,0.0,0.0
business,2019,476,0.0,0.0,0.0
business,2020,479,0.0,0.0,0.0
business,2021,486,0.0,0.0,0.0
business,2022,491,0.0,0.0,0.0
business,2023,495,0.0,0.0,0.0
business,2024,497,0.0,0.0,0.0
business,2025,499,0.18637274549098196,0.003380921848437076,0.0029897392672845716
business,2026,501,0.810379241516966,0.04143451576673494,0.033678182335322965
growth,2011,252,0.40476190476190477,0.11248958370587724,0.01356951411604129
growth,2012,379,0.36675461741424803,0.10707174311163893,0.00399250389360768
growth,2013,411,0.7153284671532847,0.1261762683130974,0.018223265997610708
growth,2014,424,0.6273584905660378,0.13329753038813202,0.01537080177038875
growth,2015,432,0.4351851851851852,0.13519631809809893,-0.0059179852846730045
growth,2016,440,0.4340909090909091,0.12312306114175074,0.003449672083115701
growth,2017,445,0.39775280898876403,0.11382135238589243,-0.007581200009217385
growth,2018,450,0.39111111111111113,0.10895914473911941,0.0021577650810063564
growth,2019,456,0.4780701754385965,0.1335450881126964,0.008755266640429358
growth,2020,465,0.44516129032258067,0.12405137651545843,0.004779832506400754
growth,2021,474,0.5780590717299579,0.139913312526676,-0.01261307108809705
growth,2022,479,0.7515657620041754,0.13168079384186673,-0.01165686461602114
growth,2023,485,0.6185567010309279,0.12411530740481275,0.0034888864697395854
growth,2024,487,0.5338809034907598,0.12033934360787873,-0.003924345047334623
growth,2025,493,0.6673427991886409,0.1130343311496729,0.004903733145471197
growth,2026,497,0.482897384305835,0.10630652016439769,0.014564612878546702
network,2011,423,0.0,0.0,0.0
network,2012,433,0.0,0.0,0.0
network,2013,440,0.0,0.0,0.0
network,2014,449,0.0,0.0,0.0
network,2015,457,0.0,0.0,0.0
network,2016,462,0.0,0.0,0.0
network,2017,468,0.0,0.0,0.0
network,2018,473,0.0,0.0,0.0
network,2019,476,0.0,0.0,0.0
network,2020,479,0.0,0.0,0.0
network,2021,486,0.0,0.0,0.0
network,2022,491,0.0,0.0,0.0
network,2023,495,0.0,0.0,0.0
network,2024,497,0.0,0.0,0.0
network,2025,499,0.0,0.0,0.0
network,2026,501,0.0,0.0,0.0
